"URBAN REDEVELOPMENT AUTHORITY - Rental Contracts of Private Retail Properties"

"S/N","Postal District","Floor Level","Floor Area (Sqm)","Median Rent (Sqm)","Reference Period"
"1","21","B1 & Below","30 & Below","89.89","Q1 2012"
"2","21","B1 & Below",">30 - 100","80.14","Q1 2012"
"3","21","B1 & Below",">100 - 300","NA","Q1 2012"
"4","21","B1 & Below",">300","NA","Q1 2012"
"5","21","Level 1","30 & Below","83.15","Q1 2012"
"6","21","Level 1",">30 - 100","NA","Q1 2012"
"7","21","Level 1",">100 - 300","NA","Q1 2012"
"8","21","Level 1",">300","NA","Q1 2012"
"9","21","Level 2 & 3","30 & Below","57.18","Q1 2012"
"10","21","Level 2 & 3",">30 - 100","65.28","Q1 2012"
"11","21","Level 2 & 3",">100 - 300","NA","Q1 2012"
"12","21","Level 2 & 3",">300","NA","Q1 2012"
"13","21","Level 4 & Above","30 & Below","50.00","Q1 2012"
"14","21","Level 4 & Above",">30 - 100","NA","Q1 2012"
"15","21","Level 4 & Above",">100 - 300","NA","Q1 2012"
"16","21","Level 4 & Above",">300","NA","Q1 2012"
"17","21","B1 & Below","30 & Below","93.10","Q2 2012"
"18","21","B1 & Below",">30 - 100","56.25","Q2 2012"
"19","21","B1 & Below",">100 - 300","NA","Q2 2012"
"20","21","B1 & Below",">300","NA","Q2 2012"
"21","21","Level 1","30 & Below","62.55","Q2 2012"
"22","21","Level 1",">30 - 100","89.19","Q2 2012"
"23","21","Level 1",">100 - 300","35.29","Q2 2012"
"24","21","Level 1",">300","NA","Q2 2012"
"25","21","Level 2 & 3","30 & Below","50.00","Q2 2012"
"26","21","Level 2 & 3",">30 - 100","68.16","Q2 2012"
"27","21","Level 2 & 3",">100 - 300","63.39","Q2 2012"
"28","21","Level 2 & 3",">300","NA","Q2 2012"
"29","21","Level 4 & Above","30 & Below","61.25","Q2 2012"
"30","21","Level 4 & Above",">30 - 100","NA","Q2 2012"
"31","21","Level 4 & Above",">100 - 300","NA","Q2 2012"
"32","21","Level 4 & Above",">300","NA","Q2 2012"
"33","21","B1 & Below","30 & Below","104.53","Q3 2012"
"34","21","B1 & Below",">30 - 100","65.20","Q3 2012"
"35","21","B1 & Below",">100 - 300","NA","Q3 2012"
"36","21","B1 & Below",">300","NA","Q3 2012"
"37","21","Level 1","30 & Below","91.18","Q3 2012"
"38","21","Level 1",">30 - 100","69.93","Q3 2012"
"39","21","Level 1",">100 - 300","45.30","Q3 2012"
"40","21","Level 1",">300","NA","Q3 2012"
"41","21","Level 2 & 3","30 & Below","73.33","Q3 2012"
"42","21","Level 2 & 3",">30 - 100","67.63","Q3 2012"
"43","21","Level 2 & 3",">100 - 300","NA","Q3 2012"
"44","21","Level 2 & 3",">300","NA","Q3 2012"
"45","21","Level 4 & Above","30 & Below","55.56","Q3 2012"
