"URBAN REDEVELOPMENT AUTHORITY - Rental Contracts of Private Retail Properties"

"S/N","Postal District","Floor Level","Floor Area (Sqm)","Median Rent (Sqm)","Reference Period"
"46","21","Level 4 & Above",">30 - 100","NA","Q3 2012"
"47","21","Level 4 & Above",">100 - 300","NA","Q3 2012"
"48","21","Level 4 & Above",">300","NA","Q3 2012"
"49","21","B1 & Below","30 & Below","97.29","Q4 2012"
"50","21","B1 & Below",">30 - 100","50.00","Q4 2012"
"51","21","B1 & Below",">100 - 300","NA","Q4 2012"
"52","21","B1 & Below",">300","43.06","Q4 2012"
"53","21","Level 1","30 & Below","68.42","Q4 2012"
"54","21","Level 1",">30 - 100","70.55","Q4 2012"
"55","21","Level 1",">100 - 300","NA","Q4 2012"
"56","21","Level 1",">300","NA","Q4 2012"
"57","21","Level 2 & 3","30 & Below","66.47","Q4 2012"
"58","21","Level 2 & 3",">30 - 100","54.96","Q4 2012"
"59","21","Level 2 & 3",">100 - 300","42.11","Q4 2012"
"60","21","Level 2 & 3",">300","NA","Q4 2012"
"61","21","Level 4 & Above","30 & Below","48.88","Q4 2012"
"62","21","Level 4 & Above",">30 - 100","NA","Q4 2012"
"63","21","Level 4 & Above",">100 - 300","NA","Q4 2012"
"64","21","Level 4 & Above",">300","NA","Q4 2012"
"65","21","B1 & Below","30 & Below","93.10","Q1 2013"
"66","21","B1 & Below",">30 - 100","77.84","Q1 2013"
"67","21","B1 & Below",">100 - 300","75.38","Q1 2013"
"68","21","B1 & Below",">300","NA","Q1 2013"
"69","21","Level 1","30 & Below","63.16","Q1 2013"
"70","21","Level 1",">30 - 100","NA","Q1 2013"
"71","21","Level 1",">100 - 300","45.07","Q1 2013"
"72","21","Level 1",">300","NA","Q1 2013"
"73","21","Level 2 & 3","30 & Below","72.50","Q1 2013"
"74","21","Level 2 & 3",">30 - 100","70.09","Q1 2013"
"75","21","Level 2 & 3",">100 - 300","NA","Q1 2013"
"76","21","Level 2 & 3",">300","NA","Q1 2013"
"77","21","Level 4 & Above","30 & Below","53.93","Q1 2013"
"78","21","Level 4 & Above",">30 - 100","NA","Q1 2013"
"79","21","Level 4 & Above",">100 - 300","NA","Q1 2013"
"80","21","Level 4 & Above",">300","NA","Q1 2013"
"81","21","B1 & Below","30 & Below","75.00","Q2 2013"
"82","21","B1 & Below",">30 - 100","65.58","Q2 2013"
"83","21","B1 & Below",">100 - 300","NA","Q2 2013"
"84","21","B1 & Below",">300","NA","Q2 2013"
"85","21","Level 1","30 & Below","106.67","Q2 2013"
"86","21","Level 1",">30 - 100","93.37","Q2 2013"
"87","21","Level 1",">100 - 300","NA","Q2 2013"
"88","21","Level 1",">300","NA","Q2 2013"
"89","21","Level 2 & 3","30 & Below","64.62","Q2 2013"
"90","21","Level 2 & 3",">30 - 100","72.84","Q2 2013"
"91","21","Level 2 & 3",">100 - 300","NA","Q2 2013"
"92","21","Level 2 & 3",">300","NA","Q2 2013"
"93","21","Level 4 & Above","30 & Below","56.86","Q2 2013"
"94","21","Level 4 & Above",">30 - 100","31.87","Q2 2013"
"95","21","Level 4 & Above",">100 - 300","NA","Q2 2013"
"96","21","Level 4 & Above",">300","NA","Q2 2013"
"97","21","B1 & Below","30 & Below","142.86","Q3 2013"
"98","21","B1 & Below",">30 - 100","59.24","Q3 2013"
"99","21","B1 & Below",">100 - 300","NA","Q3 2013"
"100","21","B1 & Below",">300","NA","Q3 2013"
"101","21","Level 1","30 & Below","94.87","Q3 2013"
"102","21","Level 1",">30 - 100","101.65","Q3 2013"
"103","21","Level 1",">100 - 300","NA","Q3 2013"
"104","21","Level 1",">300","NA","Q3 2013"
"105","21","Level 2 & 3","30 & Below","61.54","Q3 2013"
"106","21","Level 2 & 3",">30 - 100","60.22","Q3 2013"
"107","21","Level 2 & 3",">100 - 300","NA","Q3 2013"
"108","21","Level 2 & 3",">300","NA","Q3 2013"
"109","21","Level 4 & Above","30 & Below","61.46","Q3 2013"
"110","21","Level 4 & Above",">30 - 100","NA","Q3 2013"
"111","21","Level 4 & Above",">100 - 300","NA","Q3 2013"
"112","21","Level 4 & Above",">300","NA","Q3 2013"
"113","21","B1 & Below","30 & Below","105.34","Q4 2013"
"114","21","B1 & Below",">30 - 100","56.00","Q4 2013"
"115","21","B1 & Below",">100 - 300","NA","Q4 2013"
"116","21","B1 & Below",">300","NA","Q4 2013"
"117","21","Level 1","30 & Below","98.84","Q4 2013"
"118","21","Level 1",">30 - 100","63.89","Q4 2013"
"119","21","Level 1",">100 - 300","43.87","Q4 2013"
"120","21","Level 1",">300","NA","Q4 2013"
"121","21","Level 2 & 3","30 & Below","87.67","Q4 2013"
"122","21","Level 2 & 3",">30 - 100","69.03","Q4 2013"
"123","21","Level 2 & 3",">100 - 300","48.01","Q4 2013"
"124","21","Level 2 & 3",">300","NA","Q4 2013"
"125","21","Level 4 & Above","30 & Below","52.63","Q4 2013"
"126","21","Level 4 & Above",">30 - 100","NA","Q4 2013"
"127","21","Level 4 & Above",">100 - 300","NA","Q4 2013"
"128","21","Level 4 & Above",">300","NA","Q4 2013"
"129","21","B1 & Below","30 & Below","101.90","Q1 2014"
"130","21","B1 & Below",">30 - 100","97.13","Q1 2014"
"131","21","B1 & Below",">100 - 300","NA","Q1 2014"
"132","21","B1 & Below",">300","NA","Q1 2014"
"133","21","Level 1","30 & Below","74.21","Q1 2014"
"134","21","Level 1",">30 - 100","NA","Q1 2014"
"135","21","Level 1",">100 - 300","NA","Q1 2014"
"136","21","Level 1",">300","NA","Q1 2014"
"137","21","Level 2 & 3","30 & Below","61.11","Q1 2014"
"138","21","Level 2 & 3",">30 - 100","75.00","Q1 2014"
"139","21","Level 2 & 3",">100 - 300","NA","Q1 2014"
"140","21","Level 2 & 3",">300","NA","Q1 2014"
"141","21","Level 4 & Above","30 & Below","65.37","Q1 2014"
"142","21","Level 4 & Above",">30 - 100","NA","Q1 2014"
"143","21","Level 4 & Above",">100 - 300","NA","Q1 2014"
"144","21","Level 4 & Above",">300","NA","Q1 2014"
"145","21","B1 & Below","30 & Below","82.76","Q2 2014"
"146","21","B1 & Below",">30 - 100","110.08","Q2 2014"
"147","21","B1 & Below",">100 - 300","NA","Q2 2014"
"148","21","B1 & Below",">300","NA","Q2 2014"
"149","21","Level 1","30 & Below","57.89","Q2 2014"
"150","21","Level 1",">30 - 100","103.66","Q2 2014"
"151","21","Level 1",">100 - 300","38.51","Q2 2014"
"152","21","Level 1",">300","NA","Q2 2014"
"153","21","Level 2 & 3","30 & Below","62.39","Q2 2014"
"154","21","Level 2 & 3",">30 - 100","81.14","Q2 2014"
"155","21","Level 2 & 3",">100 - 300","NA","Q2 2014"
"156","21","Level 2 & 3",">300","NA","Q2 2014"
"157","21","Level 4 & Above","30 & Below","59.76","Q2 2014"
"158","21","Level 4 & Above",">30 - 100","NA","Q2 2014"
"159","21","Level 4 & Above",">100 - 300","NA","Q2 2014"
"160","21","Level 4 & Above",">300","NA","Q2 2014"
"161","21","B1 & Below","30 & Below","111.94","Q3 2014"
"162","21","B1 & Below",">30 - 100","68.26","Q3 2014"
"163","21","B1 & Below",">100 - 300","NA","Q3 2014"
"164","21","B1 & Below",">300","NA","Q3 2014"
"165","21","Level 1","30 & Below","83.90","Q3 2014"
"166","21","Level 1",">30 - 100","77.03","Q3 2014"
"167","21","Level 1",">100 - 300","51.68","Q3 2014"
"168","21","Level 1",">300","NA","Q3 2014"
"169","21","Level 2 & 3","30 & Below","61.52","Q3 2014"
"170","21","Level 2 & 3",">30 - 100","59.31","Q3 2014"
"171","21","Level 2 & 3",">100 - 300","NA","Q3 2014"
"172","21","Level 2 & 3",">300","NA","Q3 2014"
"173","21","Level 4 & Above","30 & Below","68.24","Q3 2014"
"174","21","Level 4 & Above",">30 - 100","68.90","Q3 2014"
"175","21","Level 4 & Above",">100 - 300","NA","Q3 2014"
"176","21","Level 4 & Above",">300","NA","Q3 2014"
"177","21","B1 & Below","30 & Below","113.00","Q4 2014"
"178","21","B1 & Below",">30 - 100","70.73","Q4 2014"
"179","21","B1 & Below",">100 - 300","NA","Q4 2014"
"180","21","B1 & Below",">300","NA","Q4 2014"
"181","21","Level 1","30 & Below","74.71","Q4 2014"
"182","21","Level 1",">30 - 100","107.09","Q4 2014"
"183","21","Level 1",">100 - 300","44.52","Q4 2014"
"184","21","Level 1",">300","NA","Q4 2014"
"185","21","Level 2 & 3","30 & Below","76.67","Q4 2014"
"186","21","Level 2 & 3",">30 - 100","91.46","Q4 2014"
"187","21","Level 2 & 3",">100 - 300","57.57","Q4 2014"
"188","21","Level 2 & 3",">300","NA","Q4 2014"
"189","21","Level 4 & Above","30 & Below","47.06","Q4 2014"
"190","21","Level 4 & Above",">30 - 100","NA","Q4 2014"
"191","21","Level 4 & Above",">100 - 300","NA","Q4 2014"
"192","21","Level 4 & Above",">300","NA","Q4 2014"
"193","21","B1 & Below","30 & Below","112.36","Q1 2015"
"194","21","B1 & Below",">30 - 100","NA","Q1 2015"
"195","21","B1 & Below",">100 - 300","NA","Q1 2015"
"196","21","B1 & Below",">300","NA","Q1 2015"
"197","21","Level 1","30 & Below","153.82","Q1 2015"
"198","21","Level 1",">30 - 100","64.86","Q1 2015"
"199","21","Level 1",">100 - 300","NA","Q1 2015"
"200","21","Level 1",">300","NA","Q1 2015"
"201","21","Level 2 & 3","30 & Below","69.92","Q1 2015"
"202","21","Level 2 & 3",">30 - 100","64.64","Q1 2015"
"203","21","Level 2 & 3",">100 - 300","45.32","Q1 2015"
"204","21","Level 2 & 3",">300","NA","Q1 2015"
"205","21","Level 4 & Above","30 & Below","52.94","Q1 2015"
"206","21","Level 4 & Above",">30 - 100","NA","Q1 2015"
"207","21","Level 4 & Above",">100 - 300","NA","Q1 2015"
"208","21","Level 4 & Above",">300","NA","Q1 2015"
"209","21","B1 & Below","30 & Below","96.43","Q2 2015"
"210","21","B1 & Below",">30 - 100","59.24","Q2 2015"
"211","21","B1 & Below",">100 - 300","NA","Q2 2015"
"212","21","B1 & Below",">300","NA","Q2 2015"
"213","21","Level 1","30 & Below","115.65","Q2 2015"
"214","21","Level 1",">30 - 100","67.80","Q2 2015"
"215","21","Level 1",">100 - 300","46.38","Q2 2015"
"216","21","Level 1",">300","NA","Q2 2015"
"217","21","Level 2 & 3","30 & Below","53.50","Q2 2015"
"218","21","Level 2 & 3",">30 - 100","70.22","Q2 2015"
"219","21","Level 2 & 3",">100 - 300","NA","Q2 2015"
"220","21","Level 2 & 3",">300","NA","Q2 2015"
"221","21","Level 4 & Above","30 & Below","52.94","Q2 2015"
"222","21","Level 4 & Above",">30 - 100","NA","Q2 2015"
"223","21","Level 4 & Above",">100 - 300","NA","Q2 2015"
"224","21","Level 4 & Above",">300","NA","Q2 2015"
"225","21","B1 & Below","30 & Below","122.68","Q3 2015"
"226","21","B1 & Below",">30 - 100","59.68","Q3 2015"
"227","21","B1 & Below",">100 - 300","NA","Q3 2015"
"228","21","B1 & Below",">300","NA","Q3 2015"
"229","21","Level 1","30 & Below","92.19","Q3 2015"
"230","21","Level 1",">30 - 100","117.75","Q3 2015"
"231","21","Level 1",">100 - 300","NA","Q3 2015"
"232","21","Level 1",">300","NA","Q3 2015"
"233","21","Level 2 & 3","30 & Below","83.49","Q3 2015"
"234","21","Level 2 & 3",">30 - 100","66.15","Q3 2015"
"235","21","Level 2 & 3",">100 - 300","NA","Q3 2015"
"236","21","Level 2 & 3",">300","NA","Q3 2015"
"237","21","Level 4 & Above","30 & Below","62.33","Q3 2015"
"238","21","Level 4 & Above",">30 - 100","NA","Q3 2015"
"239","21","Level 4 & Above",">100 - 300","NA","Q3 2015"
"240","21","Level 4 & Above",">300","NA","Q3 2015"
"241","21","B1 & Below","30 & Below","86.36","Q4 2015"
"242","21","B1 & Below",">30 - 100","99.65","Q4 2015"
"243","21","B1 & Below",">100 - 300","NA","Q4 2015"
"244","21","B1 & Below",">300","NA","Q4 2015"
"245","21","Level 1","30 & Below","94.74","Q4 2015"
"246","21","Level 1",">30 - 100","69.75","Q4 2015"
"247","21","Level 1",">100 - 300","NA","Q4 2015"
"248","21","Level 1",">300","NA","Q4 2015"
"249","21","Level 2 & 3","30 & Below","77.30","Q4 2015"
"250","21","Level 2 & 3",">30 - 100","70.97","Q4 2015"
"251","21","Level 2 & 3",">100 - 300","NA","Q4 2015"
"252","21","Level 2 & 3",">300","NA","Q4 2015"
"253","21","Level 4 & Above","30 & Below","57.21","Q4 2015"
"254","21","Level 4 & Above",">30 - 100","NA","Q4 2015"
"255","21","Level 4 & Above",">100 - 300","NA","Q4 2015"
"256","21","Level 4 & Above",">300","NA","Q4 2015"
"257","21","B1 & Below","30 & Below","92.86","Q1 2016"
"258","21","B1 & Below",">30 - 100","94.71","Q1 2016"
"259","21","B1 & Below",">100 - 300","NA","Q1 2016"
"260","21","B1 & Below",">300","NA","Q1 2016"
"261","21","Level 1","30 & Below","119.75","Q1 2016"
"262","21","Level 1",">30 - 100","71.13","Q1 2016"
"263","21","Level 1",">100 - 300","47.58","Q1 2016"
"264","21","Level 1",">300","NA","Q1 2016"
"265","21","Level 2 & 3","30 & Below","82.35","Q1 2016"
"266","21","Level 2 & 3",">30 - 100","NA","Q1 2016"
"267","21","Level 2 & 3",">100 - 300","NA","Q1 2016"
"268","21","Level 2 & 3",">300","NA","Q1 2016"
"269","21","Level 4 & Above","30 & Below","56.67","Q1 2016"
"270","21","Level 4 & Above",">30 - 100","NA","Q1 2016"
"271","21","Level 4 & Above",">100 - 300","NA","Q1 2016"
"272","21","Level 4 & Above",">300","NA","Q1 2016"
"273","21","B1 & Below","30 & Below","104.17","Q2 2016"
"274","21","B1 & Below",">30 - 100","NA","Q2 2016"
"275","21","B1 & Below",">100 - 300","NA","Q2 2016"
"276","21","B1 & Below",">300","NA","Q2 2016"
"277","21","Level 1","30 & Below","106.82","Q2 2016"
"278","21","Level 1",">30 - 100","109.09","Q2 2016"
"279","21","Level 1",">100 - 300","NA","Q2 2016"
"280","21","Level 1",">300","NA","Q2 2016"
"281","21","Level 2 & 3","30 & Below","54.32","Q2 2016"
"282","21","Level 2 & 3",">30 - 100","70.39","Q2 2016"
"283","21","Level 2 & 3",">100 - 300","NA","Q2 2016"
"284","21","Level 2 & 3",">300","NA","Q2 2016"
"285","21","Level 4 & Above","30 & Below","55.88","Q2 2016"
"286","21","Level 4 & Above",">30 - 100","37.21","Q2 2016"
"287","21","Level 4 & Above",">100 - 300","NA","Q2 2016"
"288","21","Level 4 & Above",">300","NA","Q2 2016"
"289","21","B1 & Below","30 & Below","108.62","Q3 2016"
"290","21","B1 & Below",">30 - 100","105.26","Q3 2016"
"291","21","B1 & Below",">100 - 300","NA","Q3 2016"
"292","21","B1 & Below",">300","NA","Q3 2016"
"293","21","Level 1","30 & Below","115.00","Q3 2016"
"294","21","Level 1",">30 - 100","105.61","Q3 2016"
"295","21","Level 1",">100 - 300","46.38","Q3 2016"
"296","21","Level 1",">300","NA","Q3 2016"
"297","21","Level 2 & 3","30 & Below","68.62","Q3 2016"
"298","21","Level 2 & 3",">30 - 100","64.56","Q3 2016"
"299","21","Level 2 & 3",">100 - 300","NA","Q3 2016"
"300","21","Level 2 & 3",">300","NA","Q3 2016"
"301","21","Level 4 & Above","30 & Below","63.73","Q3 2016"
"302","21","Level 4 & Above",">30 - 100","NA","Q3 2016"
"303","21","Level 4 & Above",">100 - 300","NA","Q3 2016"
"304","21","Level 4 & Above",">300","NA","Q3 2016"
"305","21","B1 & Below","30 & Below","109.92","Q4 2016"
"306","21","B1 & Below",">30 - 100","60.88","Q4 2016"
"307","21","B1 & Below",">100 - 300","NA","Q4 2016"
"308","21","B1 & Below",">300","NA","Q4 2016"
"309","21","Level 1","30 & Below","100.00","Q4 2016"
"310","21","Level 1",">30 - 100","104.70","Q4 2016"
"311","21","Level 1",">100 - 300","49.55","Q4 2016"
"312","21","Level 1",">300","NA","Q4 2016"
"313","21","Level 2 & 3","30 & Below","78.95","Q4 2016"
"314","21","Level 2 & 3",">30 - 100","68.06","Q4 2016"
"315","21","Level 2 & 3",">100 - 300","48.50","Q4 2016"
"316","21","Level 2 & 3",">300","NA","Q4 2016"
"317","21","Level 4 & Above","30 & Below","49.53","Q4 2016"
"318","21","Level 4 & Above",">30 - 100","NA","Q4 2016"
"319","21","Level 4 & Above",">100 - 300","NA","Q4 2016"
"320","21","Level 4 & Above",">300","NA","Q4 2016"
"321","21","B1 & Below","30 & Below","89.68","Q1 2017"
"322","21","B1 & Below",">30 - 100","NA","Q1 2017"
"323","21","B1 & Below",">100 - 300","NA","Q1 2017"
"324","21","B1 & Below",">300","NA","Q1 2017"
"325","21","Level 1","30 & Below","94.44","Q1 2017"
"326","21","Level 1",">30 - 100","94.59","Q1 2017"
"327","21","Level 1",">100 - 300","NA","Q1 2017"
"328","21","Level 1",">300","NA","Q1 2017"
"329","21","Level 2 & 3","30 & Below","84.07","Q1 2017"
"330","21","Level 2 & 3",">30 - 100","59.15","Q1 2017"
"331","21","Level 2 & 3",">100 - 300","NA","Q1 2017"
"332","21","Level 2 & 3",">300","NA","Q1 2017"
"333","21","Level 4 & Above","30 & Below","47.06","Q1 2017"
"334","21","Level 4 & Above",">30 - 100","40.94","Q1 2017"
"335","21","Level 4 & Above",">100 - 300","NA","Q1 2017"
"336","21","Level 4 & Above",">300","NA","Q1 2017"
"337","21","B1 & Below","30 & Below","NA","Q2 2017"
"338","21","B1 & Below",">30 - 100","111.26","Q2 2017"
"339","21","B1 & Below",">100 - 300","NA","Q2 2017"
"340","21","B1 & Below",">300","NA","Q2 2017"
"341","21","Level 1","30 & Below","78.26","Q2 2017"
"342","21","Level 1",">30 - 100","86.15","Q2 2017"
"343","21","Level 1",">100 - 300","NA","Q2 2017"
"344","21","Level 1",">300","NA","Q2 2017"
"345","21","Level 2 & 3","30 & Below","71.43","Q2 2017"
"346","21","Level 2 & 3",">30 - 100","72.29","Q2 2017"
"347","21","Level 2 & 3",">100 - 300","NA","Q2 2017"
"348","21","Level 2 & 3",">300","NA","Q2 2017"
"349","21","Level 4 & Above","30 & Below","52.35","Q2 2017"
"350","21","Level 4 & Above",">30 - 100","NA","Q2 2017"
"351","21","Level 4 & Above",">100 - 300","NA","Q2 2017"
"352","21","Level 4 & Above",">300","NA","Q2 2017"
"353","21","B1 & Below","30 & Below","137.93","Q3 2017"
"354","21","B1 & Below",">30 - 100","63.60","Q3 2017"
"355","21","B1 & Below",">100 - 300","NA","Q3 2017"
"356","21","B1 & Below",">300","NA","Q3 2017"
"357","21","Level 1","30 & Below","90.91","Q3 2017"
"358","21","Level 1",">30 - 100","87.92","Q3 2017"
"359","21","Level 1",">100 - 300","57.97","Q3 2017"
"360","21","Level 1",">300","NA","Q3 2017"
"361","21","Level 2 & 3","30 & Below","92.86","Q3 2017"
"362","21","Level 2 & 3",">30 - 100","64.52","Q3 2017"
"363","21","Level 2 & 3",">100 - 300","NA","Q3 2017"
"364","21","Level 2 & 3",">300","NA","Q3 2017"
"365","21","Level 4 & Above","30 & Below","50.00","Q3 2017"
"366","21","Level 4 & Above",">30 - 100","NA","Q3 2017"
"367","21","Level 4 & Above",">100 - 300","NA","Q3 2017"
"368","21","Level 4 & Above",">300","NA","Q3 2017"
"369","21","B1 & Below","30 & Below","NA","Q4 2017"
"370","21","B1 & Below",">30 - 100","80.97","Q4 2017"
"371","21","B1 & Below",">100 - 300","NA","Q4 2017"
"372","21","B1 & Below",">300","NA","Q4 2017"
"373","21","Level 1","30 & Below","82.35","Q4 2017"
"374","21","Level 1",">30 - 100","75.34","Q4 2017"
"375","21","Level 1",">100 - 300","NA","Q4 2017"
"376","21","Level 1",">300","NA","Q4 2017"
"377","21","Level 2 & 3","30 & Below","72.00","Q4 2017"
"378","21","Level 2 & 3",">30 - 100","67.26","Q4 2017"
"379","21","Level 2 & 3",">100 - 300","NA","Q4 2017"
"380","21","Level 2 & 3",">300","NA","Q4 2017"
"381","21","Level 4 & Above","30 & Below","47.06","Q4 2017"
"382","21","Level 4 & Above",">30 - 100","NA","Q4 2017"
"383","21","Level 4 & Above",">100 - 300","NA","Q4 2017"
"384","21","Level 4 & Above",">300","NA","Q4 2017"
"385","21","B1 & Below","30 & Below","115.59","Q1 2018"
"386","21","B1 & Below",">30 - 100","86.73","Q1 2018"
"387","21","B1 & Below",">100 - 300","NA","Q1 2018"
"388","21","B1 & Below",">300","NA","Q1 2018"
"389","21","Level 1","30 & Below","87.50","Q1 2018"
"390","21","Level 1",">30 - 100","67.86","Q1 2018"
"391","21","Level 1",">100 - 300","NA","Q1 2018"
"392","21","Level 1",">300","NA","Q1 2018"
"393","21","Level 2 & 3","30 & Below","64.29","Q1 2018"
"394","21","Level 2 & 3",">30 - 100","53.21","Q1 2018"
"395","21","Level 2 & 3",">100 - 300","48.50","Q1 2018"
"396","21","Level 2 & 3",">300","NA","Q1 2018"
"397","21","Level 4 & Above","30 & Below","56.67","Q1 2018"
"398","21","Level 4 & Above",">30 - 100","NA","Q1 2018"
"399","21","Level 4 & Above",">100 - 300","NA","Q1 2018"
"400","21","Level 4 & Above",">300","NA","Q1 2018"
"401","21","B1 & Below","30 & Below","84.62","Q2 2018"
"402","21","B1 & Below",">30 - 100","71.30","Q2 2018"
"403","21","B1 & Below",">100 - 300","NA","Q2 2018"
"404","21","B1 & Below",">300","NA","Q2 2018"
"405","21","Level 1","30 & Below","89.64","Q2 2018"
"406","21","Level 1",">30 - 100","85.45","Q2 2018"
"407","21","Level 1",">100 - 300","41.69","Q2 2018"
"408","21","Level 1",">300","NA","Q2 2018"
"409","21","Level 2 & 3","30 & Below","78.88","Q2 2018"
"410","21","Level 2 & 3",">30 - 100","73.28","Q2 2018"
"411","21","Level 2 & 3",">100 - 300","58.69","Q2 2018"
"412","21","Level 2 & 3",">300","NA","Q2 2018"
"413","21","Level 4 & Above","30 & Below","52.25","Q2 2018"
"414","21","Level 4 & Above",">30 - 100","NA","Q2 2018"
"415","21","Level 4 & Above",">100 - 300","NA","Q2 2018"
"416","21","Level 4 & Above",">300","NA","Q2 2018"
"417","21","B1 & Below","30 & Below","111.53","Q3 2018"
"418","21","B1 & Below",">30 - 100","80.86","Q3 2018"
"419","21","B1 & Below",">100 - 300","NA","Q3 2018"
"420","21","B1 & Below",">300","NA","Q3 2018"
"421","21","Level 1","30 & Below","92.86","Q3 2018"
"422","21","Level 1",">30 - 100","78.13","Q3 2018"
"423","21","Level 1",">100 - 300","76.89","Q3 2018"
"424","21","Level 1",">300","NA","Q3 2018"
"425","21","Level 2 & 3","30 & Below","73.91","Q3 2018"
"426","21","Level 2 & 3",">30 - 100","65.79","Q3 2018"
"427","21","Level 2 & 3",">100 - 300","NA","Q3 2018"
"428","21","Level 2 & 3",">300","NA","Q3 2018"
"429","21","Level 4 & Above","30 & Below","54.65","Q3 2018"
"430","21","Level 4 & Above",">30 - 100","NA","Q3 2018"
"431","21","Level 4 & Above",">100 - 300","NA","Q3 2018"
"432","21","Level 4 & Above",">300","NA","Q3 2018"
"433","21","B1 & Below","30 & Below","107.76","Q4 2018"
"434","21","B1 & Below",">30 - 100","93.02","Q4 2018"
"435","21","B1 & Below",">100 - 300","72.83","Q4 2018"
"436","21","B1 & Below",">300","NA","Q4 2018"
"437","21","Level 1","30 & Below","103.13","Q4 2018"
"438","21","Level 1",">30 - 100","68.97","Q4 2018"
"439","21","Level 1",">100 - 300","NA","Q4 2018"
"440","21","Level 1",">300","NA","Q4 2018"
"441","21","Level 2 & 3","30 & Below","80.41","Q4 2018"
"442","21","Level 2 & 3",">30 - 100","77.20","Q4 2018"
"443","21","Level 2 & 3",">100 - 300","NA","Q4 2018"
"444","21","Level 2 & 3",">300","NA","Q4 2018"
"445","21","Level 4 & Above","30 & Below","43.41","Q4 2018"
"446","21","Level 4 & Above",">30 - 100","NA","Q4 2018"
"447","21","Level 4 & Above",">100 - 300","NA","Q4 2018"
"448","21","Level 4 & Above",">300","NA","Q4 2018"
"449","21","B1 & Below","30 & Below","70.59","Q1 2019"
"450","21","B1 & Below",">30 - 100","80.36","Q1 2019"
"451","21","B1 & Below",">100 - 300","68.57","Q1 2019"
"452","21","B1 & Below",">300","NA","Q1 2019"
"453","21","Level 1","30 & Below","89.73","Q1 2019"
"454","21","Level 1",">30 - 100","62.99","Q1 2019"
"455","21","Level 1",">100 - 300","NA","Q1 2019"
"456","21","Level 1",">300","NA","Q1 2019"
"457","21","Level 2 & 3","30 & Below","63.33","Q1 2019"
"458","21","Level 2 & 3",">30 - 100","62.09","Q1 2019"
"459","21","Level 2 & 3",">100 - 300","NA","Q1 2019"
"460","21","Level 2 & 3",">300","NA","Q1 2019"
"461","21","Level 4 & Above","30 & Below","55.21","Q1 2019"
"462","21","Level 4 & Above",">30 - 100","NA","Q1 2019"
"463","21","Level 4 & Above",">100 - 300","NA","Q1 2019"
"464","21","Level 4 & Above",">300","NA","Q1 2019"
