"URBAN REDEVELOPMENT AUTHORITY - Rental Contracts of Private Retail Properties"

"S/N","Postal District","Floor Level","Floor Area (Sqm)","Median Rent (Sqm)","Reference Period"
"39","11","Level 1",">100 - 300","95.55","Q3 2012"
"40","11","Level 1",">300","NA","Q3 2012"
"41","11","Level 2 & 3","30 & Below","96.84","Q3 2012"
"42","11","Level 2 & 3",">30 - 100","NA","Q3 2012"
"43","11","Level 2 & 3",">100 - 300","57.01","Q3 2012"
"44","11","Level 2 & 3",">300","NA","Q3 2012"
"45","11","Level 4 & Above","30 & Below","NA","Q3 2012"
"46","11","Level 4 & Above",">30 - 100","NA","Q3 2012"
"47","11","Level 4 & Above",">100 - 300","NA","Q3 2012"
"48","11","Level 4 & Above",">300","NA","Q3 2012"
"49","11","B1 & Below","30 & Below","NA","Q4 2012"
"50","11","B1 & Below",">30 - 100","207.23","Q4 2012"
"51","11","B1 & Below",">100 - 300","NA","Q4 2012"
"52","11","B1 & Below",">300","NA","Q4 2012"
"53","11","Level 1","30 & Below","183.56","Q4 2012"
"54","11","Level 1",">30 - 100","199.23","Q4 2012"
"55","11","Level 1",">100 - 300","129.20","Q4 2012"
"56","11","Level 1",">300","46.32","Q4 2012"
"57","11","Level 2 & 3","30 & Below","80.92","Q4 2012"
"58","11","Level 2 & 3",">30 - 100","86.02","Q4 2012"
"59","11","Level 2 & 3",">100 - 300","44.56","Q4 2012"
"60","11","Level 2 & 3",">300","NA","Q4 2012"
"61","11","Level 4 & Above","30 & Below","118.43","Q4 2012"
"62","11","Level 4 & Above",">30 - 100","NA","Q4 2012"
"63","11","Level 4 & Above",">100 - 300","NA","Q4 2012"
"64","11","Level 4 & Above",">300","NA","Q4 2012"
"65","11","B1 & Below","30 & Below","NA","Q1 2013"
"66","11","B1 & Below",">30 - 100","NA","Q1 2013"
"67","11","B1 & Below",">100 - 300","NA","Q1 2013"
"68","11","B1 & Below",">300","NA","Q1 2013"
"69","11","Level 1","30 & Below","218.26","Q1 2013"
"70","11","Level 1",">30 - 100","169.16","Q1 2013"
"71","11","Level 1",">100 - 300","69.97","Q1 2013"
"72","11","Level 1",">300","NA","Q1 2013"
"73","11","Level 2 & 3","30 & Below","102.15","Q1 2013"
"74","11","Level 2 & 3",">30 - 100","118.50","Q1 2013"
"75","11","Level 2 & 3",">100 - 300","NA","Q1 2013"
"76","11","Level 2 & 3",">300","NA","Q1 2013"
"77","11","Level 4 & Above","30 & Below","132.84","Q1 2013"
"78","11","Level 4 & Above",">30 - 100","NA","Q1 2013"
"79","11","Level 4 & Above",">100 - 300","39.13","Q1 2013"
"80","11","Level 4 & Above",">300","NA","Q1 2013"
"81","11","B1 & Below","30 & Below","242.65","Q2 2013"
"82","11","B1 & Below",">30 - 100","172.22","Q2 2013"
"83","11","B1 & Below",">100 - 300","NA","Q2 2013"
"84","11","B1 & Below",">300","NA","Q2 2013"
"85","11","Level 1","30 & Below","NA","Q2 2013"
"86","11","Level 1",">30 - 100","138.03","Q2 2013"
"87","11","Level 1",">100 - 300","109.74","Q2 2013"
"88","11","Level 1",">300","NA","Q2 2013"
"89","11","Level 2 & 3","30 & Below","107.78","Q2 2013"
"90","11","Level 2 & 3",">30 - 100","188.37","Q2 2013"
"91","11","Level 2 & 3",">100 - 300","75.65","Q2 2013"
"92","11","Level 2 & 3",">300","52.02","Q2 2013"
"93","11","Level 4 & Above","30 & Below","NA","Q2 2013"
"94","11","Level 4 & Above",">30 - 100","NA","Q2 2013"
"95","11","Level 4 & Above",">100 - 300","NA","Q2 2013"
"96","11","Level 4 & Above",">300","NA","Q2 2013"
"97","11","B1 & Below","30 & Below","NA","Q3 2013"
"98","11","B1 & Below",">30 - 100","NA","Q3 2013"
"99","11","B1 & Below",">100 - 300","NA","Q3 2013"
"100","11","B1 & Below",">300","NA","Q3 2013"
"101","11","Level 1","30 & Below","NA","Q3 2013"
"102","11","Level 1",">30 - 100","NA","Q3 2013"
"103","11","Level 1",">100 - 300","NA","Q3 2013"
"104","11","Level 1",">300","NA","Q3 2013"
"105","11","Level 2 & 3","30 & Below","78.20","Q3 2013"
"106","11","Level 2 & 3",">30 - 100","96.06","Q3 2013"
"107","11","Level 2 & 3",">100 - 300","NA","Q3 2013"
"108","11","Level 2 & 3",">300","NA","Q3 2013"
"109","11","Level 4 & Above","30 & Below","NA","Q3 2013"
"110","11","Level 4 & Above",">30 - 100","NA","Q3 2013"
"111","11","Level 4 & Above",">100 - 300","NA","Q3 2013"
"112","11","Level 4 & Above",">300","NA","Q3 2013"
"113","11","B1 & Below","30 & Below","NA","Q4 2013"
"114","11","B1 & Below",">30 - 100","258.29","Q4 2013"
"115","11","B1 & Below",">100 - 300","NA","Q4 2013"
"116","11","B1 & Below",">300","NA","Q4 2013"
"117","11","Level 1","30 & Below","NA","Q4 2013"
"118","11","Level 1",">30 - 100","124.15","Q4 2013"
"119","11","Level 1",">100 - 300","NA","Q4 2013"
"120","11","Level 1",">300","NA","Q4 2013"
"121","11","Level 2 & 3","30 & Below","97.93","Q4 2013"
"122","11","Level 2 & 3",">30 - 100","161.45","Q4 2013"
"123","11","Level 2 & 3",">100 - 300","NA","Q4 2013"
"124","11","Level 2 & 3",">300","NA","Q4 2013"
"125","11","Level 4 & Above","30 & Below","NA","Q4 2013"
"126","11","Level 4 & Above",">30 - 100","NA","Q4 2013"
"127","11","Level 4 & Above",">100 - 300","NA","Q4 2013"
"128","11","Level 4 & Above",">300","NA","Q4 2013"
"129","11","B1 & Below","30 & Below","145.61","Q1 2014"
"130","11","B1 & Below",">30 - 100","NA","Q1 2014"
"131","11","B1 & Below",">100 - 300","NA","Q1 2014"
"132","11","B1 & Below",">300","NA","Q1 2014"
"133","11","Level 1","30 & Below","NA","Q1 2014"
"134","11","Level 1",">30 - 100","121.97","Q1 2014"
"135","11","Level 1",">100 - 300","NA","Q1 2014"
"136","11","Level 1",">300","NA","Q1 2014"
"137","11","Level 2 & 3","30 & Below","92.04","Q1 2014"
"138","11","Level 2 & 3",">30 - 100","207.19","Q1 2014"
"139","11","Level 2 & 3",">100 - 300","86.77","Q1 2014"
"140","11","Level 2 & 3",">300","NA","Q1 2014"
"141","11","Level 4 & Above","30 & Below","NA","Q1 2014"
"142","11","Level 4 & Above",">30 - 100","NA","Q1 2014"
"143","11","Level 4 & Above",">100 - 300","NA","Q1 2014"
"144","11","Level 4 & Above",">300","NA","Q1 2014"
"145","11","B1 & Below","30 & Below","245.76","Q2 2014"
"146","11","B1 & Below",">30 - 100","188.67","Q2 2014"
"147","11","B1 & Below",">100 - 300","NA","Q2 2014"
"148","11","B1 & Below",">300","80.72","Q2 2014"
"149","11","Level 1","30 & Below","358.57","Q2 2014"
"150","11","Level 1",">30 - 100","130.53","Q2 2014"
"151","11","Level 1",">100 - 300","101.40","Q2 2014"
"152","11","Level 1",">300","55.10","Q2 2014"
"153","11","Level 2 & 3","30 & Below","90.75","Q2 2014"
"154","11","Level 2 & 3",">30 - 100","139.89","Q2 2014"
"155","11","Level 2 & 3",">100 - 300","88.94","Q2 2014"
"156","11","Level 2 & 3",">300","NA","Q2 2014"
"157","11","Level 4 & Above","30 & Below","NA","Q2 2014"
"158","11","Level 4 & Above",">30 - 100","NA","Q2 2014"
"159","11","Level 4 & Above",">100 - 300","NA","Q2 2014"
"160","11","Level 4 & Above",">300","NA","Q2 2014"
"161","11","B1 & Below","30 & Below","218.00","Q3 2014"
"162","11","B1 & Below",">30 - 100","NA","Q3 2014"
"163","11","B1 & Below",">100 - 300","NA","Q3 2014"
"164","11","B1 & Below",">300","NA","Q3 2014"
"165","11","Level 1","30 & Below","183.08","Q3 2014"
"166","11","Level 1",">30 - 100","183.03","Q3 2014"
"167","11","Level 1",">100 - 300","145.32","Q3 2014"
"168","11","Level 1",">300","44.41","Q3 2014"
"169","11","Level 2 & 3","30 & Below","95.13","Q3 2014"
"170","11","Level 2 & 3",">30 - 100","96.82","Q3 2014"
"171","11","Level 2 & 3",">100 - 300","55.80","Q3 2014"
"172","11","Level 2 & 3",">300","NA","Q3 2014"
"173","11","Level 4 & Above","30 & Below","NA","Q3 2014"
"174","11","Level 4 & Above",">30 - 100","NA","Q3 2014"
"175","11","Level 4 & Above",">100 - 300","NA","Q3 2014"
"176","11","Level 4 & Above",">300","NA","Q3 2014"
"177","11","B1 & Below","30 & Below","NA","Q4 2014"
"178","11","B1 & Below",">30 - 100","215.23","Q4 2014"
"179","11","B1 & Below",">100 - 300","NA","Q4 2014"
"180","11","B1 & Below",">300","NA","Q4 2014"
"181","11","Level 1","30 & Below","253.58","Q4 2014"
"182","11","Level 1",">30 - 100","227.50","Q4 2014"
"183","11","Level 1",">100 - 300","NA","Q4 2014"
"184","11","Level 1",">300","NA","Q4 2014"
"185","11","Level 2 & 3","30 & Below","85.28","Q4 2014"
"186","11","Level 2 & 3",">30 - 100","215.47","Q4 2014"
"187","11","Level 2 & 3",">100 - 300","NA","Q4 2014"
"188","11","Level 2 & 3",">300","NA","Q4 2014"
"189","11","Level 4 & Above","30 & Below","NA","Q4 2014"
"190","11","Level 4 & Above",">30 - 100","NA","Q4 2014"
"191","11","Level 4 & Above",">100 - 300","NA","Q4 2014"
"192","11","Level 4 & Above",">300","NA","Q4 2014"
"193","11","B1 & Below","30 & Below","NA","Q1 2015"
"194","11","B1 & Below",">30 - 100","153.45","Q1 2015"
"195","11","B1 & Below",">100 - 300","NA","Q1 2015"
"196","11","B1 & Below",">300","NA","Q1 2015"
"197","11","Level 1","30 & Below","NA","Q1 2015"
"198","11","Level 1",">30 - 100","139.24","Q1 2015"
"199","11","Level 1",">100 - 300","NA","Q1 2015"
"200","11","Level 1",">300","NA","Q1 2015"
"201","11","Level 2 & 3","30 & Below","131.77","Q1 2015"
"202","11","Level 2 & 3",">30 - 100","NA","Q1 2015"
"203","11","Level 2 & 3",">100 - 300","NA","Q1 2015"
"204","11","Level 2 & 3",">300","NA","Q1 2015"
"205","11","Level 4 & Above","30 & Below","122.75","Q1 2015"
"206","11","Level 4 & Above",">30 - 100","NA","Q1 2015"
"207","11","Level 4 & Above",">100 - 300","NA","Q1 2015"
"208","11","Level 4 & Above",">300","NA","Q1 2015"
"209","11","B1 & Below","30 & Below","177.19","Q2 2015"
"210","11","B1 & Below",">30 - 100","121.21","Q2 2015"
"211","11","B1 & Below",">100 - 300","NA","Q2 2015"
"212","11","B1 & Below",">300","NA","Q2 2015"
"213","11","Level 1","30 & Below","247.60","Q2 2015"
"214","11","Level 1",">30 - 100","91.93","Q2 2015"
"215","11","Level 1",">100 - 300","120.31","Q2 2015"
"216","11","Level 1",">300","45.39","Q2 2015"
"217","11","Level 2 & 3","30 & Below","101.24","Q2 2015"
"218","11","Level 2 & 3",">30 - 100","83.94","Q2 2015"
"219","11","Level 2 & 3",">100 - 300","77.11","Q2 2015"
"220","11","Level 2 & 3",">300","NA","Q2 2015"
"221","11","Level 4 & Above","30 & Below","NA","Q2 2015"
"222","11","Level 4 & Above",">30 - 100","NA","Q2 2015"
"223","11","Level 4 & Above",">100 - 300","NA","Q2 2015"
"224","11","Level 4 & Above",">300","NA","Q2 2015"
"225","11","B1 & Below","30 & Below","236.10","Q3 2015"
"226","11","B1 & Below",">30 - 100","166.98","Q3 2015"
"227","11","B1 & Below",">100 - 300","NA","Q3 2015"
"228","11","B1 & Below",">300","NA","Q3 2015"
"229","11","Level 1","30 & Below","266.28","Q3 2015"
"230","11","Level 1",">30 - 100","199.23","Q3 2015"
"231","11","Level 1",">100 - 300","NA","Q3 2015"
"232","11","Level 1",">300","51.95","Q3 2015"
"233","11","Level 2 & 3","30 & Below","142.45","Q3 2015"
"234","11","Level 2 & 3",">30 - 100","170.81","Q3 2015"
"235","11","Level 2 & 3",">100 - 300","96.87","Q3 2015"
"236","11","Level 2 & 3",">300","NA","Q3 2015"
"237","11","Level 4 & Above","30 & Below","NA","Q3 2015"
"238","11","Level 4 & Above",">30 - 100","NA","Q3 2015"
"239","11","Level 4 & Above",">100 - 300","NA","Q3 2015"
"240","11","Level 4 & Above",">300","NA","Q3 2015"
"241","11","B1 & Below","30 & Below","NA","Q4 2015"
"242","11","B1 & Below",">30 - 100","NA","Q4 2015"
"243","11","B1 & Below",">100 - 300","NA","Q4 2015"
"244","11","B1 & Below",">300","NA","Q4 2015"
"245","11","Level 1","30 & Below","138.46","Q4 2015"
"246","11","Level 1",">30 - 100","236.98","Q4 2015"
"247","11","Level 1",">100 - 300","96.40","Q4 2015"
"248","11","Level 1",">300","NA","Q4 2015"
"249","11","Level 2 & 3","30 & Below","94.95","Q4 2015"
"250","11","Level 2 & 3",">30 - 100","161.41","Q4 2015"
"251","11","Level 2 & 3",">100 - 300","96.88","Q4 2015"
"252","11","Level 2 & 3",">300","NA","Q4 2015"
"253","11","Level 4 & Above","30 & Below","NA","Q4 2015"
"254","11","Level 4 & Above",">30 - 100","NA","Q4 2015"
"255","11","Level 4 & Above",">100 - 300","NA","Q4 2015"
"256","11","Level 4 & Above",">300","NA","Q4 2015"
"257","11","B1 & Below","30 & Below","183.32","Q1 2016"
"258","11","B1 & Below",">30 - 100","123.78","Q1 2016"
"259","11","B1 & Below",">100 - 300","NA","Q1 2016"
"260","11","B1 & Below",">300","NA","Q1 2016"
"261","11","Level 1","30 & Below","259.77","Q1 2016"
"262","11","Level 1",">30 - 100","144.74","Q1 2016"
"263","11","Level 1",">100 - 300","91.52","Q1 2016"
"264","11","Level 1",">300","NA","Q1 2016"
"265","11","Level 2 & 3","30 & Below","105.50","Q1 2016"
"266","11","Level 2 & 3",">30 - 100","101.77","Q1 2016"
"267","11","Level 2 & 3",">100 - 300","86.11","Q1 2016"
"268","11","Level 2 & 3",">300","40.33","Q1 2016"
"269","11","Level 4 & Above","30 & Below","NA","Q1 2016"
"270","11","Level 4 & Above",">30 - 100","NA","Q1 2016"
"271","11","Level 4 & Above",">100 - 300","NA","Q1 2016"
"272","11","Level 4 & Above",">300","NA","Q1 2016"
"273","11","B1 & Below","30 & Below","212.83","Q2 2016"
"274","11","B1 & Below",">30 - 100","209.77","Q2 2016"
"275","11","B1 & Below",">100 - 300","NA","Q2 2016"
"276","11","B1 & Below",">300","NA","Q2 2016"
"277","11","Level 1","30 & Below","166.19","Q2 2016"
"278","11","Level 1",">30 - 100","198.86","Q2 2016"
"279","11","Level 1",">100 - 300","104.53","Q2 2016"
"280","11","Level 1",">300","NA","Q2 2016"
"281","11","Level 2 & 3","30 & Below","113.85","Q2 2016"
"282","11","Level 2 & 3",">30 - 100","195.39","Q2 2016"
"283","11","Level 2 & 3",">100 - 300","85.63","Q2 2016"
"284","11","Level 2 & 3",">300","62.43","Q2 2016"
"285","11","Level 4 & Above","30 & Below","NA","Q2 2016"
"286","11","Level 4 & Above",">30 - 100","NA","Q2 2016"
"287","11","Level 4 & Above",">100 - 300","NA","Q2 2016"
"288","11","Level 4 & Above",">300","NA","Q2 2016"
"289","11","B1 & Below","30 & Below","234.12","Q3 2016"
"290","11","B1 & Below",">30 - 100","182.85","Q3 2016"
"291","11","B1 & Below",">100 - 300","NA","Q3 2016"
"292","11","B1 & Below",">300","NA","Q3 2016"
"293","11","Level 1","30 & Below","161.54","Q3 2016"
"294","11","Level 1",">30 - 100","134.51","Q3 2016"
"295","11","Level 1",">100 - 300","195.75","Q3 2016"
"296","11","Level 1",">300","NA","Q3 2016"
"297","11","Level 2 & 3","30 & Below","85.28","Q3 2016"
"298","11","Level 2 & 3",">30 - 100","NA","Q3 2016"
"299","11","Level 2 & 3",">100 - 300","72.17","Q3 2016"
"300","11","Level 2 & 3",">300","50.53","Q3 2016"
"301","11","Level 4 & Above","30 & Below","NA","Q3 2016"
"302","11","Level 4 & Above",">30 - 100","NA","Q3 2016"
"303","11","Level 4 & Above",">100 - 300","NA","Q3 2016"
"304","11","Level 4 & Above",">300","NA","Q3 2016"
"305","11","B1 & Below","30 & Below","NA","Q4 2016"
"306","11","B1 & Below",">30 - 100","NA","Q4 2016"
"307","11","B1 & Below",">100 - 300","NA","Q4 2016"
"308","11","B1 & Below",">300","NA","Q4 2016"
"309","11","Level 1","30 & Below","NA","Q4 2016"
"310","11","Level 1",">30 - 100","154.42","Q4 2016"
"311","11","Level 1",">100 - 300","83.73","Q4 2016"
"312","11","Level 1",">300","37.72","Q4 2016"
"313","11","Level 2 & 3","30 & Below","NA","Q4 2016"
"314","11","Level 2 & 3",">30 - 100","138.65","Q4 2016"
"315","11","Level 2 & 3",">100 - 300","75.37","Q4 2016"
"316","11","Level 2 & 3",">300","NA","Q4 2016"
"317","11","Level 4 & Above","30 & Below","NA","Q4 2016"
"318","11","Level 4 & Above",">30 - 100","NA","Q4 2016"
"319","11","Level 4 & Above",">100 - 300","NA","Q4 2016"
"320","11","Level 4 & Above",">300","NA","Q4 2016"
"321","11","B1 & Below","30 & Below","231.46","Q1 2017"
"322","11","B1 & Below",">30 - 100","166.05","Q1 2017"
"323","11","B1 & Below",">100 - 300","NA","Q1 2017"
"324","11","B1 & Below",">300","NA","Q1 2017"
"325","11","Level 1","30 & Below","250.36","Q1 2017"
"326","11","Level 1",">30 - 100","150.66","Q1 2017"
"327","11","Level 1",">100 - 300","126.52","Q1 2017"
"328","11","Level 1",">300","NA","Q1 2017"
"329","11","Level 2 & 3","30 & Below","129.70","Q1 2017"
"330","11","Level 2 & 3",">30 - 100","187.64","Q1 2017"
"331","11","Level 2 & 3",">100 - 300","96.88","Q1 2017"
"332","11","Level 2 & 3",">300","NA","Q1 2017"
"333","11","Level 4 & Above","30 & Below","127.09","Q1 2017"
"334","11","Level 4 & Above",">30 - 100","NA","Q1 2017"
"335","11","Level 4 & Above",">100 - 300","NA","Q1 2017"
"336","11","Level 4 & Above",">300","NA","Q1 2017"
"337","11","B1 & Below","30 & Below","226.09","Q2 2017"
"338","11","B1 & Below",">30 - 100","196.36","Q2 2017"
"339","11","B1 & Below",">100 - 300","NA","Q2 2017"
"340","11","B1 & Below",">300","NA","Q2 2017"
"341","11","Level 1","30 & Below","247.61","Q2 2017"
"342","11","Level 1",">30 - 100","161.64","Q2 2017"
"343","11","Level 1",">100 - 300","NA","Q2 2017"
"344","11","Level 1",">300","NA","Q2 2017"
"345","11","Level 2 & 3","30 & Below","126.58","Q2 2017"
"346","11","Level 2 & 3",">30 - 100","193.76","Q2 2017"
"347","11","Level 2 & 3",">100 - 300","107.64","Q2 2017"
"348","11","Level 2 & 3",">300","NA","Q2 2017"
"349","11","Level 4 & Above","30 & Below","NA","Q2 2017"
"350","11","Level 4 & Above",">30 - 100","NA","Q2 2017"
"351","11","Level 4 & Above",">100 - 300","NA","Q2 2017"
"352","11","Level 4 & Above",">300","NA","Q2 2017"
"353","11","B1 & Below","30 & Below","NA","Q3 2017"
"354","11","B1 & Below",">30 - 100","215.56","Q3 2017"
"355","11","B1 & Below",">100 - 300","NA","Q3 2017"
"356","11","B1 & Below",">300","NA","Q3 2017"
"357","11","Level 1","30 & Below","244.36","Q3 2017"
"358","11","Level 1",">30 - 100","113.17","Q3 2017"
"359","11","Level 1",">100 - 300","102.03","Q3 2017"
"360","11","Level 1",">300","NA","Q3 2017"
"361","11","Level 2 & 3","30 & Below","139.75","Q3 2017"
"362","11","Level 2 & 3",">30 - 100","85.75","Q3 2017"
"363","11","Level 2 & 3",">100 - 300","NA","Q3 2017"
"364","11","Level 2 & 3",">300","80.20","Q3 2017"
"365","11","Level 4 & Above","30 & Below","NA","Q3 2017"
"366","11","Level 4 & Above",">30 - 100","NA","Q3 2017"
"367","11","Level 4 & Above",">100 - 300","NA","Q3 2017"
"368","11","Level 4 & Above",">300","NA","Q3 2017"
"369","11","B1 & Below","30 & Below","NA","Q4 2017"
"370","11","B1 & Below",">30 - 100","182.85","Q4 2017"
"371","11","B1 & Below",">100 - 300","NA","Q4 2017"
"372","11","B1 & Below",">300","NA","Q4 2017"
"373","11","Level 1","30 & Below","169.89","Q4 2017"
"374","11","Level 1",">30 - 100","179.05","Q4 2017"
"375","11","Level 1",">100 - 300","NA","Q4 2017"
"376","11","Level 1",">300","NA","Q4 2017"
"377","11","Level 2 & 3","30 & Below","109.69","Q4 2017"
"378","11","Level 2 & 3",">30 - 100","210.08","Q4 2017"
"379","11","Level 2 & 3",">100 - 300","121.41","Q4 2017"
"380","11","Level 2 & 3",">300","NA","Q4 2017"
"381","11","Level 4 & Above","30 & Below","NA","Q4 2017"
"382","11","Level 4 & Above",">30 - 100","NA","Q4 2017"
"383","11","Level 4 & Above",">100 - 300","NA","Q4 2017"
"384","11","Level 4 & Above",">300","NA","Q4 2017"
"385","11","B1 & Below","30 & Below","NA","Q1 2018"
"386","11","B1 & Below",">30 - 100","NA","Q1 2018"
"387","11","B1 & Below",">100 - 300","NA","Q1 2018"
"388","11","B1 & Below",">300","NA","Q1 2018"
"389","11","Level 1","30 & Below","NA","Q1 2018"
"390","11","Level 1",">30 - 100","NA","Q1 2018"
"391","11","Level 1",">100 - 300","NA","Q1 2018"
"392","11","Level 1",">300","NA","Q1 2018"
"393","11","Level 2 & 3","30 & Below","110.05","Q1 2018"
"394","11","Level 2 & 3",">30 - 100","NA","Q1 2018"
"395","11","Level 2 & 3",">100 - 300","97.55","Q1 2018"
"396","11","Level 2 & 3",">300","NA","Q1 2018"
"397","11","Level 4 & Above","30 & Below","NA","Q1 2018"
"398","11","Level 4 & Above",">30 - 100","NA","Q1 2018"
"399","11","Level 4 & Above",">100 - 300","NA","Q1 2018"
"400","11","Level 4 & Above",">300","NA","Q1 2018"
"401","11","B1 & Below","30 & Below","NA","Q2 2018"
"402","11","B1 & Below",">30 - 100","188.40","Q2 2018"
"403","11","B1 & Below",">100 - 300","NA","Q2 2018"
"404","11","B1 & Below",">300","NA","Q2 2018"
"405","11","Level 1","30 & Below","215.57","Q2 2018"
"406","11","Level 1",">30 - 100","126.52","Q2 2018"
"407","11","Level 1",">100 - 300","109.15","Q2 2018"
"408","11","Level 1",">300","NA","Q2 2018"
"409","11","Level 2 & 3","30 & Below","NA","Q2 2018"
"410","11","Level 2 & 3",">30 - 100","172.27","Q2 2018"
"411","11","Level 2 & 3",">100 - 300","130.75","Q2 2018"
"412","11","Level 2 & 3",">300","NA","Q2 2018"
"413","11","Level 4 & Above","30 & Below","NA","Q2 2018"
"414","11","Level 4 & Above",">30 - 100","NA","Q2 2018"
"415","11","Level 4 & Above",">100 - 300","NA","Q2 2018"
"416","11","Level 4 & Above",">300","NA","Q2 2018"
"417","11","B1 & Below","30 & Below","277.78","Q3 2018"
"418","11","B1 & Below",">30 - 100","NA","Q3 2018"
"419","11","B1 & Below",">100 - 300","NA","Q3 2018"
"420","11","B1 & Below",">300","NA","Q3 2018"
"421","11","Level 1","30 & Below","120.78","Q3 2018"
"422","11","Level 1",">30 - 100","209.92","Q3 2018"
"423","11","Level 1",">100 - 300","285.28","Q3 2018"
"424","11","Level 1",">300","79.35","Q3 2018"
"425","11","Level 2 & 3","30 & Below","142.20","Q3 2018"
"426","11","Level 2 & 3",">30 - 100","150.59","Q3 2018"
"427","11","Level 2 & 3",">100 - 300","89.35","Q3 2018"
"428","11","Level 2 & 3",">300","NA","Q3 2018"
"429","11","Level 4 & Above","30 & Below","NA","Q3 2018"
"430","11","Level 4 & Above",">30 - 100","NA","Q3 2018"
"431","11","Level 4 & Above",">100 - 300","NA","Q3 2018"
"432","11","Level 4 & Above",">300","NA","Q3 2018"
"433","11","B1 & Below","30 & Below","202.61","Q4 2018"
"434","11","B1 & Below",">30 - 100","139.93","Q4 2018"
"435","11","B1 & Below",">100 - 300","NA","Q4 2018"
"436","11","B1 & Below",">300","NA","Q4 2018"
"437","11","Level 1","30 & Below","175.79","Q4 2018"
"438","11","Level 1",">30 - 100","156.49","Q4 2018"
"439","11","Level 1",">100 - 300","92.87","Q4 2018"
"440","11","Level 1",">300","114.08","Q4 2018"
"441","11","Level 2 & 3","30 & Below","NA","Q4 2018"
"442","11","Level 2 & 3",">30 - 100","172.22","Q4 2018"
"443","11","Level 2 & 3",">100 - 300","97.79","Q4 2018"
"444","11","Level 2 & 3",">300","NA","Q4 2018"
"445","11","Level 4 & Above","30 & Below","NA","Q4 2018"
"446","11","Level 4 & Above",">30 - 100","NA","Q4 2018"
"447","11","Level 4 & Above",">100 - 300","NA","Q4 2018"
"448","11","Level 4 & Above",">300","NA","Q4 2018"
"449","11","B1 & Below","30 & Below","NA","Q1 2019"
"450","11","B1 & Below",">30 - 100","193.78","Q1 2019"
"451","11","B1 & Below",">100 - 300","NA","Q1 2019"
"452","11","B1 & Below",">300","NA","Q1 2019"
"453","11","Level 1","30 & Below","258.44","Q1 2019"
"454","11","Level 1",">30 - 100","161.45","Q1 2019"
"455","11","Level 1",">100 - 300","130.74","Q1 2019"
"456","11","Level 1",">300","88.93","Q1 2019"
"457","11","Level 2 & 3","30 & Below","132.43","Q1 2019"
"458","11","Level 2 & 3",">30 - 100","138.50","Q1 2019"
"459","11","Level 2 & 3",">100 - 300","69.38","Q1 2019"
"460","11","Level 2 & 3",">300","57.04","Q1 2019"
"461","11","Level 4 & Above","30 & Below","165.22","Q1 2019"
"462","11","Level 4 & Above",">30 - 100","NA","Q1 2019"
"463","11","Level 4 & Above",">100 - 300","NA","Q1 2019"
"464","11","Level 4 & Above",">300","NA","Q1 2019"
"465","11","B1 & Below","30 & Below","275.00","Q2 2019"
