"URBAN REDEVELOPMENT AUTHORITY - Rental Contracts of Private Retail Properties"

"S/N","Postal District","Floor Level","Floor Area (Sqm)","Median Rent (Sqm)","Reference Period"
"1","11","B1 & Below","30 & Below","NA","Q1 2012"
"2","11","B1 & Below",">30 - 100","147.10","Q1 2012"
"3","11","B1 & Below",">100 - 300","NA","Q1 2012"
"4","11","B1 & Below",">300","NA","Q1 2012"
"5","11","Level 1","30 & Below","NA","Q1 2012"
"6","11","Level 1",">30 - 100","199.73","Q1 2012"
"7","11","Level 1",">100 - 300","85.87","Q1 2012"
"8","11","Level 1",">300","NA","Q1 2012"
"9","11","Level 2 & 3","30 & Below","75.53","Q1 2012"
"10","11","Level 2 & 3",">30 - 100","NA","Q1 2012"
"11","11","Level 2 & 3",">100 - 300","NA","Q1 2012"
"12","11","Level 2 & 3",">300","NA","Q1 2012"
"13","11","Level 4 & Above","30 & Below","NA","Q1 2012"
"14","11","Level 4 & Above",">30 - 100","113.01","Q1 2012"
"15","11","Level 4 & Above",">100 - 300","NA","Q1 2012"
"16","11","Level 4 & Above",">300","NA","Q1 2012"
"17","11","B1 & Below","30 & Below","220.87","Q2 2012"
"18","11","B1 & Below",">30 - 100","199.13","Q2 2012"
"19","11","B1 & Below",">100 - 300","NA","Q2 2012"
"20","11","B1 & Below",">300","NA","Q2 2012"
"21","11","Level 1","30 & Below","237.11","Q2 2012"
"22","11","Level 1",">30 - 100","155.98","Q2 2012"
"23","11","Level 1",">100 - 300","72.64","Q2 2012"
"24","11","Level 1",">300","NA","Q2 2012"
"25","11","Level 2 & 3","30 & Below","75.83","Q2 2012"
"26","11","Level 2 & 3",">30 - 100","145.43","Q2 2012"
"27","11","Level 2 & 3",">100 - 300","NA","Q2 2012"
"28","11","Level 2 & 3",">300","NA","Q2 2012"
"29","11","Level 4 & Above","30 & Below","NA","Q2 2012"
"30","11","Level 4 & Above",">30 - 100","NA","Q2 2012"
"31","11","Level 4 & Above",">100 - 300","NA","Q2 2012"
"32","11","Level 4 & Above",">300","NA","Q2 2012"
"33","11","B1 & Below","30 & Below","NA","Q3 2012"
"34","11","B1 & Below",">30 - 100","107.89","Q3 2012"
"35","11","B1 & Below",">100 - 300","NA","Q3 2012"
"36","11","B1 & Below",">300","NA","Q3 2012"
"37","11","Level 1","30 & Below","301.78","Q3 2012"
"38","11","Level 1",">30 - 100","156.18","Q3 2012"
