"URBAN REDEVELOPMENT AUTHORITY - Rental Contracts of Private Retail Properties"

"S/N","Postal District","Floor Level","Floor Area (Sqm)","Median Rent (Sqm)","Reference Period"
"1","16","B1 & Below","30 & Below","NA","Q1 2012"
"2","16","B1 & Below",">30 - 100","NA","Q1 2012"
"3","16","B1 & Below",">100 - 300","NA","Q1 2012"
"4","16","B1 & Below",">300","NA","Q1 2012"
"5","16","Level 1","30 & Below","61.29","Q1 2012"
"6","16","Level 1",">30 - 100","65.97","Q1 2012"
"7","16","Level 1",">100 - 300","NA","Q1 2012"
"8","16","Level 1",">300","NA","Q1 2012"
"9","16","Level 2 & 3","30 & Below","NA","Q1 2012"
"10","16","Level 2 & 3",">30 - 100","NA","Q1 2012"
"11","16","Level 2 & 3",">100 - 300","NA","Q1 2012"
"12","16","Level 2 & 3",">300","NA","Q1 2012"
"13","16","Level 4 & Above","30 & Below","NA","Q1 2012"
"14","16","Level 4 & Above",">30 - 100","NA","Q1 2012"
"15","16","Level 4 & Above",">100 - 300","NA","Q1 2012"
"16","16","Level 4 & Above",">300","NA","Q1 2012"
"17","16","B1 & Below","30 & Below","NA","Q2 2012"
"18","16","B1 & Below",">30 - 100","NA","Q2 2012"
"19","16","B1 & Below",">100 - 300","NA","Q2 2012"
"20","16","B1 & Below",">300","NA","Q2 2012"
"21","16","Level 1","30 & Below","NA","Q2 2012"
"22","16","Level 1",">30 - 100","NA","Q2 2012"
"23","16","Level 1",">100 - 300","NA","Q2 2012"
"24","16","Level 1",">300","NA","Q2 2012"
"25","16","Level 2 & 3","30 & Below","NA","Q2 2012"
"26","16","Level 2 & 3",">30 - 100","129.14","Q2 2012"
"27","16","Level 2 & 3",">100 - 300","NA","Q2 2012"
"28","16","Level 2 & 3",">300","NA","Q2 2012"
"29","16","Level 4 & Above","30 & Below","NA","Q2 2012"
"30","16","Level 4 & Above",">30 - 100","NA","Q2 2012"
"31","16","Level 4 & Above",">100 - 300","NA","Q2 2012"
"32","16","Level 4 & Above",">300","NA","Q2 2012"
"33","16","B1 & Below","30 & Below","210.82","Q3 2012"
"34","16","B1 & Below",">30 - 100","129.58","Q3 2012"
