"URBAN REDEVELOPMENT AUTHORITY - Rental Contracts of Private Retail Properties"

"S/N","Postal District","Floor Level","Floor Area (Sqm)","Median Rent (Sqm)","Reference Period"
"35","16","B1 & Below",">100 - 300","NA","Q3 2012"
"36","16","B1 & Below",">300","NA","Q3 2012"
"37","16","Level 1","30 & Below","223.34","Q3 2012"
"38","16","Level 1",">30 - 100","172.70","Q3 2012"
"39","16","Level 1",">100 - 300","107.64","Q3 2012"
"40","16","Level 1",">300","NA","Q3 2012"
"41","16","Level 2 & 3","30 & Below","NA","Q3 2012"
"42","16","Level 2 & 3",">30 - 100","107.64","Q3 2012"
"43","16","Level 2 & 3",">100 - 300","75.35","Q3 2012"
"44","16","Level 2 & 3",">300","NA","Q3 2012"
"45","16","Level 4 & Above","30 & Below","NA","Q3 2012"
"46","16","Level 4 & Above",">30 - 100","NA","Q3 2012"
"47","16","Level 4 & Above",">100 - 300","NA","Q3 2012"
"48","16","Level 4 & Above",">300","NA","Q3 2012"
"49","16","B1 & Below","30 & Below","NA","Q4 2012"
"50","16","B1 & Below",">30 - 100","160.39","Q4 2012"
"51","16","B1 & Below",">100 - 300","NA","Q4 2012"
"52","16","B1 & Below",">300","NA","Q4 2012"
"53","16","Level 1","30 & Below","80.56","Q4 2012"
"54","16","Level 1",">30 - 100","122.47","Q4 2012"
"55","16","Level 1",">100 - 300","139.93","Q4 2012"
"56","16","Level 1",">300","NA","Q4 2012"
"57","16","Level 2 & 3","30 & Below","155.00","Q4 2012"
"58","16","Level 2 & 3",">30 - 100","NA","Q4 2012"
"59","16","Level 2 & 3",">100 - 300","NA","Q4 2012"
"60","16","Level 2 & 3",">300","NA","Q4 2012"
"61","16","Level 4 & Above","30 & Below","NA","Q4 2012"
"62","16","Level 4 & Above",">30 - 100","NA","Q4 2012"
"63","16","Level 4 & Above",">100 - 300","NA","Q4 2012"
"64","16","Level 4 & Above",">300","NA","Q4 2012"
"65","16","B1 & Below","30 & Below","NA","Q1 2013"
"66","16","B1 & Below",">30 - 100","NA","Q1 2013"
"67","16","B1 & Below",">100 - 300","NA","Q1 2013"
"68","16","B1 & Below",">300","NA","Q1 2013"
"69","16","Level 1","30 & Below","NA","Q1 2013"
"70","16","Level 1",">30 - 100","NA","Q1 2013"
"71","16","Level 1",">100 - 300","NA","Q1 2013"
"72","16","Level 1",">300","NA","Q1 2013"
"73","16","Level 2 & 3","30 & Below","NA","Q1 2013"
"74","16","Level 2 & 3",">30 - 100","168.83","Q1 2013"
"75","16","Level 2 & 3",">100 - 300","NA","Q1 2013"
"76","16","Level 2 & 3",">300","NA","Q1 2013"
"77","16","Level 4 & Above","30 & Below","NA","Q1 2013"
"78","16","Level 4 & Above",">30 - 100","NA","Q1 2013"
"79","16","Level 4 & Above",">100 - 300","NA","Q1 2013"
"80","16","Level 4 & Above",">300","NA","Q1 2013"
"81","16","B1 & Below","30 & Below","NA","Q2 2013"
"82","16","B1 & Below",">30 - 100","NA","Q2 2013"
"83","16","B1 & Below",">100 - 300","NA","Q2 2013"
"84","16","B1 & Below",">300","NA","Q2 2013"
"85","16","Level 1","30 & Below","NA","Q2 2013"
"86","16","Level 1",">30 - 100","75.34","Q2 2013"
"87","16","Level 1",">100 - 300","NA","Q2 2013"
"88","16","Level 1",">300","NA","Q2 2013"
"89","16","Level 2 & 3","30 & Below","NA","Q2 2013"
"90","16","Level 2 & 3",">30 - 100","NA","Q2 2013"
"91","16","Level 2 & 3",">100 - 300","NA","Q2 2013"
"92","16","Level 2 & 3",">300","NA","Q2 2013"
"93","16","Level 4 & Above","30 & Below","NA","Q2 2013"
"94","16","Level 4 & Above",">30 - 100","NA","Q2 2013"
"95","16","Level 4 & Above",">100 - 300","NA","Q2 2013"
"96","16","Level 4 & Above",">300","NA","Q2 2013"
"97","16","B1 & Below","30 & Below","218.80","Q3 2013"
"98","16","B1 & Below",">30 - 100","NA","Q3 2013"
"99","16","B1 & Below",">100 - 300","NA","Q3 2013"
"100","16","B1 & Below",">300","NA","Q3 2013"
"101","16","Level 1","30 & Below","NA","Q3 2013"
"102","16","Level 1",">30 - 100","88.89","Q3 2013"
"103","16","Level 1",">100 - 300","NA","Q3 2013"
"104","16","Level 1",">300","NA","Q3 2013"
"105","16","Level 2 & 3","30 & Below","NA","Q3 2013"
"106","16","Level 2 & 3",">30 - 100","121.84","Q3 2013"
"107","16","Level 2 & 3",">100 - 300","NA","Q3 2013"
"108","16","Level 2 & 3",">300","NA","Q3 2013"
"109","16","Level 4 & Above","30 & Below","NA","Q3 2013"
"110","16","Level 4 & Above",">30 - 100","NA","Q3 2013"
"111","16","Level 4 & Above",">100 - 300","NA","Q3 2013"
"112","16","Level 4 & Above",">300","NA","Q3 2013"
"113","16","B1 & Below","30 & Below","243.91","Q4 2013"
"114","16","B1 & Below",">30 - 100","149.51","Q4 2013"
"115","16","B1 & Below",">100 - 300","94.93","Q4 2013"
"116","16","B1 & Below",">300","NA","Q4 2013"
"117","16","Level 1","30 & Below","NA","Q4 2013"
"118","16","Level 1",">30 - 100","59.46","Q4 2013"
"119","16","Level 1",">100 - 300","NA","Q4 2013"
"120","16","Level 1",">300","NA","Q4 2013"
"121","16","Level 2 & 3","30 & Below","NA","Q4 2013"
"122","16","Level 2 & 3",">30 - 100","167.89","Q4 2013"
"123","16","Level 2 & 3",">100 - 300","109.10","Q4 2013"
"124","16","Level 2 & 3",">300","NA","Q4 2013"
"125","16","Level 4 & Above","30 & Below","NA","Q4 2013"
"126","16","Level 4 & Above",">30 - 100","NA","Q4 2013"
"127","16","Level 4 & Above",">100 - 300","NA","Q4 2013"
"128","16","Level 4 & Above",">300","NA","Q4 2013"
"129","16","B1 & Below","30 & Below","NA","Q1 2014"
"130","16","B1 & Below",">30 - 100","NA","Q1 2014"
"131","16","B1 & Below",">100 - 300","NA","Q1 2014"
"132","16","B1 & Below",">300","NA","Q1 2014"
"133","16","Level 1","30 & Below","80.56","Q1 2014"
"134","16","Level 1",">30 - 100","115.38","Q1 2014"
"135","16","Level 1",">100 - 300","NA","Q1 2014"
"136","16","Level 1",">300","NA","Q1 2014"
"137","16","Level 2 & 3","30 & Below","NA","Q1 2014"
"138","16","Level 2 & 3",">30 - 100","NA","Q1 2014"
"139","16","Level 2 & 3",">100 - 300","NA","Q1 2014"
"140","16","Level 2 & 3",">300","NA","Q1 2014"
"141","16","Level 4 & Above","30 & Below","NA","Q1 2014"
"142","16","Level 4 & Above",">30 - 100","NA","Q1 2014"
"143","16","Level 4 & Above",">100 - 300","NA","Q1 2014"
"144","16","Level 4 & Above",">300","NA","Q1 2014"
"145","16","B1 & Below","30 & Below","235.86","Q2 2014"
"146","16","B1 & Below",">30 - 100","NA","Q2 2014"
"147","16","B1 & Below",">100 - 300","NA","Q2 2014"
"148","16","B1 & Below",">300","NA","Q2 2014"
"149","16","Level 1","30 & Below","164.60","Q2 2014"
"150","16","Level 1",">30 - 100","NA","Q2 2014"
"151","16","Level 1",">100 - 300","NA","Q2 2014"
"152","16","Level 1",">300","NA","Q2 2014"
"153","16","Level 2 & 3","30 & Below","NA","Q2 2014"
"154","16","Level 2 & 3",">30 - 100","NA","Q2 2014"
"155","16","Level 2 & 3",">100 - 300","NA","Q2 2014"
"156","16","Level 2 & 3",">300","NA","Q2 2014"
"157","16","Level 4 & Above","30 & Below","NA","Q2 2014"
"158","16","Level 4 & Above",">30 - 100","NA","Q2 2014"
"159","16","Level 4 & Above",">100 - 300","NA","Q2 2014"
"160","16","Level 4 & Above",">300","NA","Q2 2014"
"161","16","B1 & Below","30 & Below","NA","Q3 2014"
"162","16","B1 & Below",">30 - 100","287.94","Q3 2014"
"163","16","B1 & Below",">100 - 300","NA","Q3 2014"
"164","16","B1 & Below",">300","NA","Q3 2014"
"165","16","Level 1","30 & Below","210.53","Q3 2014"
"166","16","Level 1",">30 - 100","156.92","Q3 2014"
"167","16","Level 1",">100 - 300","NA","Q3 2014"
"168","16","Level 1",">300","NA","Q3 2014"
"169","16","Level 2 & 3","30 & Below","NA","Q3 2014"
"170","16","Level 2 & 3",">30 - 100","NA","Q3 2014"
"171","16","Level 2 & 3",">100 - 300","NA","Q3 2014"
"172","16","Level 2 & 3",">300","NA","Q3 2014"
"173","16","Level 4 & Above","30 & Below","NA","Q3 2014"
"174","16","Level 4 & Above",">30 - 100","NA","Q3 2014"
"175","16","Level 4 & Above",">100 - 300","NA","Q3 2014"
"176","16","Level 4 & Above",">300","NA","Q3 2014"
"177","16","B1 & Below","30 & Below","NA","Q4 2014"
"178","16","B1 & Below",">30 - 100","236.80","Q4 2014"
"179","16","B1 & Below",">100 - 300","150.70","Q4 2014"
"180","16","B1 & Below",">300","NA","Q4 2014"
"181","16","Level 1","30 & Below","186.67","Q4 2014"
"182","16","Level 1",">30 - 100","NA","Q4 2014"
"183","16","Level 1",">100 - 300","145.31","Q4 2014"
"184","16","Level 1",">300","NA","Q4 2014"
"185","16","Level 2 & 3","30 & Below","NA","Q4 2014"
"186","16","Level 2 & 3",">30 - 100","NA","Q4 2014"
"187","16","Level 2 & 3",">100 - 300","119.97","Q4 2014"
"188","16","Level 2 & 3",">300","NA","Q4 2014"
"189","16","Level 4 & Above","30 & Below","NA","Q4 2014"
"190","16","Level 4 & Above",">30 - 100","NA","Q4 2014"
"191","16","Level 4 & Above",">100 - 300","NA","Q4 2014"
"192","16","Level 4 & Above",">300","NA","Q4 2014"
"193","16","B1 & Below","30 & Below","NA","Q1 2015"
"194","16","B1 & Below",">30 - 100","152.33","Q1 2015"
"195","16","B1 & Below",">100 - 300","NA","Q1 2015"
"196","16","B1 & Below",">300","NA","Q1 2015"
"197","16","Level 1","30 & Below","145.00","Q1 2015"
"198","16","Level 1",">30 - 100","126.35","Q1 2015"
"199","16","Level 1",">100 - 300","NA","Q1 2015"
"200","16","Level 1",">300","NA","Q1 2015"
"201","16","Level 2 & 3","30 & Below","NA","Q1 2015"
"202","16","Level 2 & 3",">30 - 100","137.94","Q1 2015"
"203","16","Level 2 & 3",">100 - 300","NA","Q1 2015"
"204","16","Level 2 & 3",">300","NA","Q1 2015"
"205","16","Level 4 & Above","30 & Below","NA","Q1 2015"
"206","16","Level 4 & Above",">30 - 100","NA","Q1 2015"
"207","16","Level 4 & Above",">100 - 300","NA","Q1 2015"
"208","16","Level 4 & Above",">300","NA","Q1 2015"
"209","16","B1 & Below","30 & Below","459.08","Q2 2015"
"210","16","B1 & Below",">30 - 100","217.44","Q2 2015"
"211","16","B1 & Below",">100 - 300","NA","Q2 2015"
"212","16","B1 & Below",">300","NA","Q2 2015"
"213","16","Level 1","30 & Below","119.05","Q2 2015"
"214","16","Level 1",">30 - 100","76.95","Q2 2015"
"215","16","Level 1",">100 - 300","NA","Q2 2015"
"216","16","Level 1",">300","NA","Q2 2015"
"217","16","Level 2 & 3","30 & Below","NA","Q2 2015"
"218","16","Level 2 & 3",">30 - 100","NA","Q2 2015"
"219","16","Level 2 & 3",">100 - 300","NA","Q2 2015"
"220","16","Level 2 & 3",">300","NA","Q2 2015"
"221","16","Level 4 & Above","30 & Below","NA","Q2 2015"
"222","16","Level 4 & Above",">30 - 100","NA","Q2 2015"
"223","16","Level 4 & Above",">100 - 300","NA","Q2 2015"
"224","16","Level 4 & Above",">300","NA","Q2 2015"
"225","16","B1 & Below","30 & Below","NA","Q3 2015"
"226","16","B1 & Below",">30 - 100","NA","Q3 2015"
"227","16","B1 & Below",">100 - 300","NA","Q3 2015"
"228","16","B1 & Below",">300","NA","Q3 2015"
"229","16","Level 1","30 & Below","122.27","Q3 2015"
"230","16","Level 1",">30 - 100","107.26","Q3 2015"
"231","16","Level 1",">100 - 300","NA","Q3 2015"
"232","16","Level 1",">300","NA","Q3 2015"
"233","16","Level 2 & 3","30 & Below","NA","Q3 2015"
"234","16","Level 2 & 3",">30 - 100","NA","Q3 2015"
"235","16","Level 2 & 3",">100 - 300","NA","Q3 2015"
"236","16","Level 2 & 3",">300","NA","Q3 2015"
"237","16","Level 4 & Above","30 & Below","NA","Q3 2015"
"238","16","Level 4 & Above",">30 - 100","NA","Q3 2015"
"239","16","Level 4 & Above",">100 - 300","NA","Q3 2015"
"240","16","Level 4 & Above",">300","NA","Q3 2015"
"241","16","B1 & Below","30 & Below","NA","Q4 2015"
"242","16","B1 & Below",">30 - 100","NA","Q4 2015"
"243","16","B1 & Below",">100 - 300","NA","Q4 2015"
"244","16","B1 & Below",">300","NA","Q4 2015"
"245","16","Level 1","30 & Below","100.00","Q4 2015"
"246","16","Level 1",">30 - 100","NA","Q4 2015"
"247","16","Level 1",">100 - 300","NA","Q4 2015"
"248","16","Level 1",">300","NA","Q4 2015"
"249","16","Level 2 & 3","30 & Below","NA","Q4 2015"
"250","16","Level 2 & 3",">30 - 100","NA","Q4 2015"
"251","16","Level 2 & 3",">100 - 300","NA","Q4 2015"
"252","16","Level 2 & 3",">300","NA","Q4 2015"
"253","16","Level 4 & Above","30 & Below","NA","Q4 2015"
"254","16","Level 4 & Above",">30 - 100","NA","Q4 2015"
"255","16","Level 4 & Above",">100 - 300","NA","Q4 2015"
"256","16","Level 4 & Above",">300","NA","Q4 2015"
"257","16","B1 & Below","30 & Below","NA","Q1 2016"
"258","16","B1 & Below",">30 - 100","NA","Q1 2016"
"259","16","B1 & Below",">100 - 300","NA","Q1 2016"
"260","16","B1 & Below",">300","NA","Q1 2016"
"261","16","Level 1","30 & Below","108.70","Q1 2016"
"262","16","Level 1",">30 - 100","NA","Q1 2016"
"263","16","Level 1",">100 - 300","NA","Q1 2016"
"264","16","Level 1",">300","NA","Q1 2016"
"265","16","Level 2 & 3","30 & Below","NA","Q1 2016"
"266","16","Level 2 & 3",">30 - 100","NA","Q1 2016"
"267","16","Level 2 & 3",">100 - 300","NA","Q1 2016"
"268","16","Level 2 & 3",">300","NA","Q1 2016"
"269","16","Level 4 & Above","30 & Below","NA","Q1 2016"
"270","16","Level 4 & Above",">30 - 100","NA","Q1 2016"
"271","16","Level 4 & Above",">100 - 300","NA","Q1 2016"
"272","16","Level 4 & Above",">300","NA","Q1 2016"
"273","16","B1 & Below","30 & Below","NA","Q2 2016"
"274","16","B1 & Below",">30 - 100","NA","Q2 2016"
"275","16","B1 & Below",">100 - 300","NA","Q2 2016"
"276","16","B1 & Below",">300","NA","Q2 2016"
"277","16","Level 1","30 & Below","110.00","Q2 2016"
"278","16","Level 1",">30 - 100","51.28","Q2 2016"
"279","16","Level 1",">100 - 300","NA","Q2 2016"
"280","16","Level 1",">300","NA","Q2 2016"
"281","16","Level 2 & 3","30 & Below","NA","Q2 2016"
"282","16","Level 2 & 3",">30 - 100","NA","Q2 2016"
"283","16","Level 2 & 3",">100 - 300","NA","Q2 2016"
"284","16","Level 2 & 3",">300","NA","Q2 2016"
"285","16","Level 4 & Above","30 & Below","NA","Q2 2016"
"286","16","Level 4 & Above",">30 - 100","NA","Q2 2016"
"287","16","Level 4 & Above",">100 - 300","NA","Q2 2016"
"288","16","Level 4 & Above",">300","NA","Q2 2016"
"289","16","B1 & Below","30 & Below","NA","Q3 2016"
"290","16","B1 & Below",">30 - 100","NA","Q3 2016"
"291","16","B1 & Below",">100 - 300","NA","Q3 2016"
"292","16","B1 & Below",">300","NA","Q3 2016"
"293","16","Level 1","30 & Below","110.00","Q3 2016"
"294","16","Level 1",">30 - 100","NA","Q3 2016"
"295","16","Level 1",">100 - 300","NA","Q3 2016"
"296","16","Level 1",">300","NA","Q3 2016"
"297","16","Level 2 & 3","30 & Below","NA","Q3 2016"
"298","16","Level 2 & 3",">30 - 100","NA","Q3 2016"
"299","16","Level 2 & 3",">100 - 300","NA","Q3 2016"
"300","16","Level 2 & 3",">300","NA","Q3 2016"
"301","16","Level 4 & Above","30 & Below","NA","Q3 2016"
"302","16","Level 4 & Above",">30 - 100","NA","Q3 2016"
"303","16","Level 4 & Above",">100 - 300","NA","Q3 2016"
"304","16","Level 4 & Above",">300","NA","Q3 2016"
"305","16","B1 & Below","30 & Below","NA","Q4 2016"
"306","16","B1 & Below",">30 - 100","NA","Q4 2016"
"307","16","B1 & Below",">100 - 300","NA","Q4 2016"
"308","16","B1 & Below",">300","NA","Q4 2016"
"309","16","Level 1","30 & Below","107.85","Q4 2016"
"310","16","Level 1",">30 - 100","102.56","Q4 2016"
"311","16","Level 1",">100 - 300","NA","Q4 2016"
"312","16","Level 1",">300","NA","Q4 2016"
"313","16","Level 2 & 3","30 & Below","NA","Q4 2016"
"314","16","Level 2 & 3",">30 - 100","NA","Q4 2016"
"315","16","Level 2 & 3",">100 - 300","NA","Q4 2016"
"316","16","Level 2 & 3",">300","NA","Q4 2016"
"317","16","Level 4 & Above","30 & Below","NA","Q4 2016"
"318","16","Level 4 & Above",">30 - 100","NA","Q4 2016"
"319","16","Level 4 & Above",">100 - 300","NA","Q4 2016"
"320","16","Level 4 & Above",">300","NA","Q4 2016"
"321","16","B1 & Below","30 & Below","NA","Q1 2017"
"322","16","B1 & Below",">30 - 100","169.06","Q1 2017"
"323","16","B1 & Below",">100 - 300","NA","Q1 2017"
"324","16","B1 & Below",">300","NA","Q1 2017"
"325","16","Level 1","30 & Below","92.11","Q1 2017"
"326","16","Level 1",">30 - 100","135.23","Q1 2017"
"327","16","Level 1",">100 - 300","NA","Q1 2017"
"328","16","Level 1",">300","NA","Q1 2017"
"329","16","Level 2 & 3","30 & Below","NA","Q1 2017"
"330","16","Level 2 & 3",">30 - 100","NA","Q1 2017"
"331","16","Level 2 & 3",">100 - 300","NA","Q1 2017"
"332","16","Level 2 & 3",">300","NA","Q1 2017"
"333","16","Level 4 & Above","30 & Below","NA","Q1 2017"
"334","16","Level 4 & Above",">30 - 100","NA","Q1 2017"
"335","16","Level 4 & Above",">100 - 300","NA","Q1 2017"
"336","16","Level 4 & Above",">300","NA","Q1 2017"
"337","16","B1 & Below","30 & Below","NA","Q2 2017"
"338","16","B1 & Below",">30 - 100","211.13","Q2 2017"
"339","16","B1 & Below",">100 - 300","NA","Q2 2017"
"340","16","B1 & Below",">300","NA","Q2 2017"
"341","16","Level 1","30 & Below","118.40","Q2 2017"
"342","16","Level 1",">30 - 100","199.37","Q2 2017"
"343","16","Level 1",">100 - 300","109.89","Q2 2017"
"344","16","Level 1",">300","NA","Q2 2017"
"345","16","Level 2 & 3","30 & Below","NA","Q2 2017"
"346","16","Level 2 & 3",">30 - 100","73.16","Q2 2017"
"347","16","Level 2 & 3",">100 - 300","85.28","Q2 2017"
"348","16","Level 2 & 3",">300","NA","Q2 2017"
"349","16","Level 4 & Above","30 & Below","NA","Q2 2017"
"350","16","Level 4 & Above",">30 - 100","NA","Q2 2017"
"351","16","Level 4 & Above",">100 - 300","NA","Q2 2017"
"352","16","Level 4 & Above",">300","NA","Q2 2017"
"353","16","B1 & Below","30 & Below","257.59","Q3 2017"
"354","16","B1 & Below",">30 - 100","139.93","Q3 2017"
"355","16","B1 & Below",">100 - 300","NA","Q3 2017"
"356","16","B1 & Below",">300","NA","Q3 2017"
"357","16","Level 1","30 & Below","101.99","Q3 2017"
"358","16","Level 1",">30 - 100","98.48","Q3 2017"
"359","16","Level 1",">100 - 300","92.55","Q3 2017"
"360","16","Level 1",">300","NA","Q3 2017"
"361","16","Level 2 & 3","30 & Below","NA","Q3 2017"
"362","16","Level 2 & 3",">30 - 100","NA","Q3 2017"
"363","16","Level 2 & 3",">100 - 300","60.57","Q3 2017"
"364","16","Level 2 & 3",">300","NA","Q3 2017"
"365","16","Level 4 & Above","30 & Below","NA","Q3 2017"
"366","16","Level 4 & Above",">30 - 100","NA","Q3 2017"
"367","16","Level 4 & Above",">100 - 300","NA","Q3 2017"
"368","16","Level 4 & Above",">300","NA","Q3 2017"
"369","16","B1 & Below","30 & Below","401.32","Q4 2017"
"370","16","B1 & Below",">30 - 100","207.68","Q4 2017"
"371","16","B1 & Below",">100 - 300","182.58","Q4 2017"
"372","16","B1 & Below",">300","NA","Q4 2017"
"373","16","Level 1","30 & Below","97.29","Q4 2017"
"374","16","Level 1",">30 - 100","141.00","Q4 2017"
"375","16","Level 1",">100 - 300","121.70","Q4 2017"
"376","16","Level 1",">300","NA","Q4 2017"
"377","16","Level 2 & 3","30 & Below","NA","Q4 2017"
"378","16","Level 2 & 3",">30 - 100","104.26","Q4 2017"
"379","16","Level 2 & 3",">100 - 300","100.51","Q4 2017"
"380","16","Level 2 & 3",">300","NA","Q4 2017"
"381","16","Level 4 & Above","30 & Below","NA","Q4 2017"
"382","16","Level 4 & Above",">30 - 100","NA","Q4 2017"
"383","16","Level 4 & Above",">100 - 300","NA","Q4 2017"
"384","16","Level 4 & Above",">300","NA","Q4 2017"
"385","16","B1 & Below","30 & Below","522.76","Q1 2018"
"386","16","B1 & Below",">30 - 100","187.65","Q1 2018"
"387","16","B1 & Below",">100 - 300","NA","Q1 2018"
"388","16","B1 & Below",">300","NA","Q1 2018"
"389","16","Level 1","30 & Below","94.74","Q1 2018"
"390","16","Level 1",">30 - 100","169.79","Q1 2018"
"391","16","Level 1",">100 - 300","141.52","Q1 2018"
"392","16","Level 1",">300","NA","Q1 2018"
"393","16","Level 2 & 3","30 & Below","NA","Q1 2018"
"394","16","Level 2 & 3",">30 - 100","157.37","Q1 2018"
"395","16","Level 2 & 3",">100 - 300","99.04","Q1 2018"
"396","16","Level 2 & 3",">300","NA","Q1 2018"
"397","16","Level 4 & Above","30 & Below","NA","Q1 2018"
"398","16","Level 4 & Above",">30 - 100","NA","Q1 2018"
"399","16","Level 4 & Above",">100 - 300","NA","Q1 2018"
"400","16","Level 4 & Above",">300","NA","Q1 2018"
"401","16","B1 & Below","30 & Below","NA","Q2 2018"
"402","16","B1 & Below",">30 - 100","196.97","Q2 2018"
"403","16","B1 & Below",">100 - 300","NA","Q2 2018"
"404","16","B1 & Below",">300","NA","Q2 2018"
"405","16","Level 1","30 & Below","110.00","Q2 2018"
"406","16","Level 1",">30 - 100","157.79","Q2 2018"
"407","16","Level 1",">100 - 300","NA","Q2 2018"
"408","16","Level 1",">300","NA","Q2 2018"
"409","16","Level 2 & 3","30 & Below","216.38","Q2 2018"
"410","16","Level 2 & 3",">30 - 100","NA","Q2 2018"
"411","16","Level 2 & 3",">100 - 300","NA","Q2 2018"
"412","16","Level 2 & 3",">300","NA","Q2 2018"
"413","16","Level 4 & Above","30 & Below","NA","Q2 2018"
"414","16","Level 4 & Above",">30 - 100","NA","Q2 2018"
"415","16","Level 4 & Above",">100 - 300","NA","Q2 2018"
"416","16","Level 4 & Above",">300","NA","Q2 2018"
"417","16","B1 & Below","30 & Below","396.79","Q3 2018"
"418","16","B1 & Below",">30 - 100","176.76","Q3 2018"
"419","16","B1 & Below",">100 - 300","NA","Q3 2018"
"420","16","B1 & Below",">300","NA","Q3 2018"
"421","16","Level 1","30 & Below","100.00","Q3 2018"
"422","16","Level 1",">30 - 100","111.12","Q3 2018"
"423","16","Level 1",">100 - 300","NA","Q3 2018"
"424","16","Level 1",">300","NA","Q3 2018"
"425","16","Level 2 & 3","30 & Below","NA","Q3 2018"
"426","16","Level 2 & 3",">30 - 100","NA","Q3 2018"
"427","16","Level 2 & 3",">100 - 300","NA","Q3 2018"
"428","16","Level 2 & 3",">300","NA","Q3 2018"
"429","16","Level 4 & Above","30 & Below","NA","Q3 2018"
"430","16","Level 4 & Above",">30 - 100","NA","Q3 2018"
"431","16","Level 4 & Above",">100 - 300","NA","Q3 2018"
"432","16","Level 4 & Above",">300","NA","Q3 2018"
"433","16","B1 & Below","30 & Below","400.18","Q4 2018"
"434","16","B1 & Below",">30 - 100","222.83","Q4 2018"
"435","16","B1 & Below",">100 - 300","NA","Q4 2018"
"436","16","B1 & Below",">300","NA","Q4 2018"
"437","16","Level 1","30 & Below","100.00","Q4 2018"
"438","16","Level 1",">30 - 100","86.11","Q4 2018"
"439","16","Level 1",">100 - 300","141.89","Q4 2018"
"440","16","Level 1",">300","NA","Q4 2018"
"441","16","Level 2 & 3","30 & Below","NA","Q4 2018"
"442","16","Level 2 & 3",">30 - 100","150.80","Q4 2018"
"443","16","Level 2 & 3",">100 - 300","NA","Q4 2018"
"444","16","Level 2 & 3",">300","NA","Q4 2018"
"445","16","Level 4 & Above","30 & Below","NA","Q4 2018"
"446","16","Level 4 & Above",">30 - 100","NA","Q4 2018"
"447","16","Level 4 & Above",">100 - 300","NA","Q4 2018"
"448","16","Level 4 & Above",">300","NA","Q4 2018"
"449","16","B1 & Below","30 & Below","428.13","Q1 2019"
"450","16","B1 & Below",">30 - 100","261.64","Q1 2019"
"451","16","B1 & Below",">100 - 300","NA","Q1 2019"
"452","16","B1 & Below",">300","NA","Q1 2019"
"453","16","Level 1","30 & Below","85.71","Q1 2019"
"454","16","Level 1",">30 - 100","211.25","Q1 2019"
"455","16","Level 1",">100 - 300","120.68","Q1 2019"
"456","16","Level 1",">300","NA","Q1 2019"
"457","16","Level 2 & 3","30 & Below","NA","Q1 2019"
"458","16","Level 2 & 3",">30 - 100","NA","Q1 2019"
"459","16","Level 2 & 3",">100 - 300","NA","Q1 2019"
"460","16","Level 2 & 3",">300","NA","Q1 2019"
"461","16","Level 4 & Above","30 & Below","NA","Q1 2019"
"462","16","Level 4 & Above",">30 - 100","NA","Q1 2019"
"463","16","Level 4 & Above",">100 - 300","NA","Q1 2019"
"464","16","Level 4 & Above",">300","NA","Q1 2019"
"465","16","B1 & Below","30 & Below","231.41","Q2 2019"
"466","16","B1 & Below",">30 - 100","143.21","Q2 2019"
"467","16","B1 & Below",">100 - 300","NA","Q2 2019"
"468","16","B1 & Below",">300","NA","Q2 2019"
"469","16","Level 1","30 & Below","86.84","Q2 2019"
