"URBAN REDEVELOPMENT AUTHORITY - Rental Contracts of Private Retail Properties"

"S/N","Postal District","Floor Level","Floor Area (Sqm)","Median Rent (Sqm)","Reference Period"
"1","26","B1 & Below","30 & Below","NA","Q1 2012"
"2","26","B1 & Below",">30 - 100","NA","Q1 2012"
"3","26","B1 & Below",">100 - 300","NA","Q1 2012"
"4","26","B1 & Below",">300","NA","Q1 2012"
"5","26","Level 1","30 & Below","NA","Q1 2012"
"6","26","Level 1",">30 - 100","NA","Q1 2012"
"7","26","Level 1",">100 - 300","NA","Q1 2012"
"8","26","Level 1",">300","NA","Q1 2012"
"9","26","Level 2 & 3","30 & Below","NA","Q1 2012"
"10","26","Level 2 & 3",">30 - 100","NA","Q1 2012"
"11","26","Level 2 & 3",">100 - 300","NA","Q1 2012"
"12","26","Level 2 & 3",">300","NA","Q1 2012"
"13","26","Level 4 & Above","30 & Below","NA","Q1 2012"
"14","26","Level 4 & Above",">30 - 100","NA","Q1 2012"
"15","26","Level 4 & Above",">100 - 300","NA","Q1 2012"
"16","26","Level 4 & Above",">300","NA","Q1 2012"
"17","26","B1 & Below","30 & Below","NA","Q2 2012"
"18","26","B1 & Below",">30 - 100","NA","Q2 2012"
"19","26","B1 & Below",">100 - 300","NA","Q2 2012"
"20","26","B1 & Below",">300","NA","Q2 2012"
"21","26","Level 1","30 & Below","NA","Q2 2012"
"22","26","Level 1",">30 - 100","NA","Q2 2012"
"23","26","Level 1",">100 - 300","NA","Q2 2012"
"24","26","Level 1",">300","NA","Q2 2012"
"25","26","Level 2 & 3","30 & Below","NA","Q2 2012"
"26","26","Level 2 & 3",">30 - 100","NA","Q2 2012"
"27","26","Level 2 & 3",">100 - 300","NA","Q2 2012"
"28","26","Level 2 & 3",">300","NA","Q2 2012"
"29","26","Level 4 & Above","30 & Below","NA","Q2 2012"
"30","26","Level 4 & Above",">30 - 100","NA","Q2 2012"
"31","26","Level 4 & Above",">100 - 300","NA","Q2 2012"
"32","26","Level 4 & Above",">300","NA","Q2 2012"
"33","26","B1 & Below","30 & Below","NA","Q3 2012"
"34","26","B1 & Below",">30 - 100","NA","Q3 2012"
"35","26","B1 & Below",">100 - 300","NA","Q3 2012"
"36","26","B1 & Below",">300","NA","Q3 2012"
"37","26","Level 1","30 & Below","NA","Q3 2012"
"38","26","Level 1",">30 - 100","NA","Q3 2012"
"39","26","Level 1",">100 - 300","NA","Q3 2012"
"40","26","Level 1",">300","NA","Q3 2012"
"41","26","Level 2 & 3","30 & Below","NA","Q3 2012"
"42","26","Level 2 & 3",">30 - 100","NA","Q3 2012"
"43","26","Level 2 & 3",">100 - 300","NA","Q3 2012"
"44","26","Level 2 & 3",">300","NA","Q3 2012"
"45","26","Level 4 & Above","30 & Below","NA","Q3 2012"
"46","26","Level 4 & Above",">30 - 100","NA","Q3 2012"
"47","26","Level 4 & Above",">100 - 300","NA","Q3 2012"
"48","26","Level 4 & Above",">300","NA","Q3 2012"
"49","26","B1 & Below","30 & Below","NA","Q4 2012"
"50","26","B1 & Below",">30 - 100","NA","Q4 2012"
"51","26","B1 & Below",">100 - 300","NA","Q4 2012"
"52","26","B1 & Below",">300","NA","Q4 2012"
"53","26","Level 1","30 & Below","NA","Q4 2012"
"54","26","Level 1",">30 - 100","NA","Q4 2012"
"55","26","Level 1",">100 - 300","NA","Q4 2012"
"56","26","Level 1",">300","NA","Q4 2012"
"57","26","Level 2 & 3","30 & Below","NA","Q4 2012"
"58","26","Level 2 & 3",">30 - 100","NA","Q4 2012"
"59","26","Level 2 & 3",">100 - 300","NA","Q4 2012"
"60","26","Level 2 & 3",">300","NA","Q4 2012"
"61","26","Level 4 & Above","30 & Below","NA","Q4 2012"
