"URBAN REDEVELOPMENT AUTHORITY - Rental Contracts of Private Retail Properties"

"S/N","Postal District","Floor Level","Floor Area (Sqm)","Median Rent (Sqm)","Reference Period"
"62","26","Level 4 & Above",">30 - 100","NA","Q4 2012"
"63","26","Level 4 & Above",">100 - 300","NA","Q4 2012"
"64","26","Level 4 & Above",">300","NA","Q4 2012"
"65","26","B1 & Below","30 & Below","NA","Q1 2013"
"66","26","B1 & Below",">30 - 100","NA","Q1 2013"
"67","26","B1 & Below",">100 - 300","NA","Q1 2013"
"68","26","B1 & Below",">300","NA","Q1 2013"
"69","26","Level 1","30 & Below","NA","Q1 2013"
"70","26","Level 1",">30 - 100","NA","Q1 2013"
"71","26","Level 1",">100 - 300","NA","Q1 2013"
"72","26","Level 1",">300","NA","Q1 2013"
"73","26","Level 2 & 3","30 & Below","NA","Q1 2013"
"74","26","Level 2 & 3",">30 - 100","NA","Q1 2013"
"75","26","Level 2 & 3",">100 - 300","NA","Q1 2013"
"76","26","Level 2 & 3",">300","NA","Q1 2013"
"77","26","Level 4 & Above","30 & Below","NA","Q1 2013"
"78","26","Level 4 & Above",">30 - 100","NA","Q1 2013"
"79","26","Level 4 & Above",">100 - 300","NA","Q1 2013"
"80","26","Level 4 & Above",">300","NA","Q1 2013"
"81","26","B1 & Below","30 & Below","NA","Q2 2013"
"82","26","B1 & Below",">30 - 100","NA","Q2 2013"
"83","26","B1 & Below",">100 - 300","NA","Q2 2013"
"84","26","B1 & Below",">300","NA","Q2 2013"
"85","26","Level 1","30 & Below","NA","Q2 2013"
"86","26","Level 1",">30 - 100","NA","Q2 2013"
"87","26","Level 1",">100 - 300","NA","Q2 2013"
"88","26","Level 1",">300","NA","Q2 2013"
"89","26","Level 2 & 3","30 & Below","NA","Q2 2013"
"90","26","Level 2 & 3",">30 - 100","NA","Q2 2013"
"91","26","Level 2 & 3",">100 - 300","NA","Q2 2013"
"92","26","Level 2 & 3",">300","NA","Q2 2013"
"93","26","Level 4 & Above","30 & Below","NA","Q2 2013"
"94","26","Level 4 & Above",">30 - 100","NA","Q2 2013"
"95","26","Level 4 & Above",">100 - 300","NA","Q2 2013"
"96","26","Level 4 & Above",">300","NA","Q2 2013"
"97","26","B1 & Below","30 & Below","NA","Q3 2013"
"98","26","B1 & Below",">30 - 100","NA","Q3 2013"
"99","26","B1 & Below",">100 - 300","NA","Q3 2013"
"100","26","B1 & Below",">300","NA","Q3 2013"
"101","26","Level 1","30 & Below","NA","Q3 2013"
"102","26","Level 1",">30 - 100","NA","Q3 2013"
"103","26","Level 1",">100 - 300","NA","Q3 2013"
"104","26","Level 1",">300","NA","Q3 2013"
"105","26","Level 2 & 3","30 & Below","NA","Q3 2013"
"106","26","Level 2 & 3",">30 - 100","NA","Q3 2013"
"107","26","Level 2 & 3",">100 - 300","NA","Q3 2013"
"108","26","Level 2 & 3",">300","NA","Q3 2013"
"109","26","Level 4 & Above","30 & Below","NA","Q3 2013"
"110","26","Level 4 & Above",">30 - 100","NA","Q3 2013"
"111","26","Level 4 & Above",">100 - 300","NA","Q3 2013"
"112","26","Level 4 & Above",">300","NA","Q3 2013"
"113","26","B1 & Below","30 & Below","NA","Q4 2013"
"114","26","B1 & Below",">30 - 100","NA","Q4 2013"
"115","26","B1 & Below",">100 - 300","NA","Q4 2013"
"116","26","B1 & Below",">300","NA","Q4 2013"
"117","26","Level 1","30 & Below","NA","Q4 2013"
"118","26","Level 1",">30 - 100","NA","Q4 2013"
"119","26","Level 1",">100 - 300","NA","Q4 2013"
"120","26","Level 1",">300","NA","Q4 2013"
"121","26","Level 2 & 3","30 & Below","NA","Q4 2013"
"122","26","Level 2 & 3",">30 - 100","NA","Q4 2013"
"123","26","Level 2 & 3",">100 - 300","NA","Q4 2013"
"124","26","Level 2 & 3",">300","NA","Q4 2013"
"125","26","Level 4 & Above","30 & Below","NA","Q4 2013"
"126","26","Level 4 & Above",">30 - 100","NA","Q4 2013"
"127","26","Level 4 & Above",">100 - 300","NA","Q4 2013"
"128","26","Level 4 & Above",">300","NA","Q4 2013"
"129","26","B1 & Below","30 & Below","NA","Q1 2014"
"130","26","B1 & Below",">30 - 100","NA","Q1 2014"
"131","26","B1 & Below",">100 - 300","NA","Q1 2014"
"132","26","B1 & Below",">300","NA","Q1 2014"
"133","26","Level 1","30 & Below","NA","Q1 2014"
"134","26","Level 1",">30 - 100","NA","Q1 2014"
"135","26","Level 1",">100 - 300","NA","Q1 2014"
"136","26","Level 1",">300","NA","Q1 2014"
"137","26","Level 2 & 3","30 & Below","NA","Q1 2014"
"138","26","Level 2 & 3",">30 - 100","NA","Q1 2014"
"139","26","Level 2 & 3",">100 - 300","NA","Q1 2014"
"140","26","Level 2 & 3",">300","NA","Q1 2014"
"141","26","Level 4 & Above","30 & Below","NA","Q1 2014"
"142","26","Level 4 & Above",">30 - 100","NA","Q1 2014"
"143","26","Level 4 & Above",">100 - 300","NA","Q1 2014"
"144","26","Level 4 & Above",">300","NA","Q1 2014"
"145","26","B1 & Below","30 & Below","NA","Q2 2014"
"146","26","B1 & Below",">30 - 100","NA","Q2 2014"
"147","26","B1 & Below",">100 - 300","NA","Q2 2014"
"148","26","B1 & Below",">300","NA","Q2 2014"
"149","26","Level 1","30 & Below","NA","Q2 2014"
"150","26","Level 1",">30 - 100","31.97","Q2 2014"
"151","26","Level 1",">100 - 300","NA","Q2 2014"
"152","26","Level 1",">300","NA","Q2 2014"
"153","26","Level 2 & 3","30 & Below","NA","Q2 2014"
"154","26","Level 2 & 3",">30 - 100","NA","Q2 2014"
"155","26","Level 2 & 3",">100 - 300","NA","Q2 2014"
"156","26","Level 2 & 3",">300","NA","Q2 2014"
"157","26","Level 4 & Above","30 & Below","NA","Q2 2014"
"158","26","Level 4 & Above",">30 - 100","NA","Q2 2014"
"159","26","Level 4 & Above",">100 - 300","NA","Q2 2014"
"160","26","Level 4 & Above",">300","NA","Q2 2014"
"161","26","B1 & Below","30 & Below","NA","Q3 2014"
"162","26","B1 & Below",">30 - 100","NA","Q3 2014"
"163","26","B1 & Below",">100 - 300","NA","Q3 2014"
"164","26","B1 & Below",">300","NA","Q3 2014"
"165","26","Level 1","30 & Below","NA","Q3 2014"
"166","26","Level 1",">30 - 100","NA","Q3 2014"
"167","26","Level 1",">100 - 300","NA","Q3 2014"
"168","26","Level 1",">300","NA","Q3 2014"
"169","26","Level 2 & 3","30 & Below","NA","Q3 2014"
"170","26","Level 2 & 3",">30 - 100","NA","Q3 2014"
"171","26","Level 2 & 3",">100 - 300","NA","Q3 2014"
"172","26","Level 2 & 3",">300","NA","Q3 2014"
"173","26","Level 4 & Above","30 & Below","NA","Q3 2014"
"174","26","Level 4 & Above",">30 - 100","NA","Q3 2014"
"175","26","Level 4 & Above",">100 - 300","NA","Q3 2014"
"176","26","Level 4 & Above",">300","NA","Q3 2014"
"177","26","B1 & Below","30 & Below","NA","Q4 2014"
"178","26","B1 & Below",">30 - 100","NA","Q4 2014"
"179","26","B1 & Below",">100 - 300","NA","Q4 2014"
"180","26","B1 & Below",">300","NA","Q4 2014"
"181","26","Level 1","30 & Below","NA","Q4 2014"
"182","26","Level 1",">30 - 100","NA","Q4 2014"
"183","26","Level 1",">100 - 300","NA","Q4 2014"
"184","26","Level 1",">300","NA","Q4 2014"
"185","26","Level 2 & 3","30 & Below","NA","Q4 2014"
"186","26","Level 2 & 3",">30 - 100","NA","Q4 2014"
"187","26","Level 2 & 3",">100 - 300","NA","Q4 2014"
"188","26","Level 2 & 3",">300","NA","Q4 2014"
"189","26","Level 4 & Above","30 & Below","NA","Q4 2014"
"190","26","Level 4 & Above",">30 - 100","NA","Q4 2014"
"191","26","Level 4 & Above",">100 - 300","NA","Q4 2014"
"192","26","Level 4 & Above",">300","NA","Q4 2014"
"193","26","B1 & Below","30 & Below","NA","Q1 2015"
"194","26","B1 & Below",">30 - 100","NA","Q1 2015"
"195","26","B1 & Below",">100 - 300","NA","Q1 2015"
"196","26","B1 & Below",">300","NA","Q1 2015"
"197","26","Level 1","30 & Below","NA","Q1 2015"
"198","26","Level 1",">30 - 100","NA","Q1 2015"
"199","26","Level 1",">100 - 300","NA","Q1 2015"
"200","26","Level 1",">300","NA","Q1 2015"
"201","26","Level 2 & 3","30 & Below","NA","Q1 2015"
"202","26","Level 2 & 3",">30 - 100","NA","Q1 2015"
"203","26","Level 2 & 3",">100 - 300","NA","Q1 2015"
"204","26","Level 2 & 3",">300","NA","Q1 2015"
"205","26","Level 4 & Above","30 & Below","NA","Q1 2015"
"206","26","Level 4 & Above",">30 - 100","NA","Q1 2015"
"207","26","Level 4 & Above",">100 - 300","NA","Q1 2015"
"208","26","Level 4 & Above",">300","NA","Q1 2015"
"209","26","B1 & Below","30 & Below","NA","Q2 2015"
"210","26","B1 & Below",">30 - 100","NA","Q2 2015"
"211","26","B1 & Below",">100 - 300","NA","Q2 2015"
"212","26","B1 & Below",">300","NA","Q2 2015"
"213","26","Level 1","30 & Below","NA","Q2 2015"
"214","26","Level 1",">30 - 100","NA","Q2 2015"
"215","26","Level 1",">100 - 300","NA","Q2 2015"
"216","26","Level 1",">300","NA","Q2 2015"
"217","26","Level 2 & 3","30 & Below","NA","Q2 2015"
"218","26","Level 2 & 3",">30 - 100","NA","Q2 2015"
"219","26","Level 2 & 3",">100 - 300","NA","Q2 2015"
"220","26","Level 2 & 3",">300","NA","Q2 2015"
"221","26","Level 4 & Above","30 & Below","NA","Q2 2015"
"222","26","Level 4 & Above",">30 - 100","NA","Q2 2015"
"223","26","Level 4 & Above",">100 - 300","NA","Q2 2015"
"224","26","Level 4 & Above",">300","NA","Q2 2015"
"225","26","B1 & Below","30 & Below","NA","Q3 2015"
"226","26","B1 & Below",">30 - 100","NA","Q3 2015"
"227","26","B1 & Below",">100 - 300","NA","Q3 2015"
"228","26","B1 & Below",">300","NA","Q3 2015"
"229","26","Level 1","30 & Below","NA","Q3 2015"
"230","26","Level 1",">30 - 100","NA","Q3 2015"
"231","26","Level 1",">100 - 300","NA","Q3 2015"
"232","26","Level 1",">300","NA","Q3 2015"
"233","26","Level 2 & 3","30 & Below","NA","Q3 2015"
"234","26","Level 2 & 3",">30 - 100","NA","Q3 2015"
"235","26","Level 2 & 3",">100 - 300","NA","Q3 2015"
"236","26","Level 2 & 3",">300","NA","Q3 2015"
"237","26","Level 4 & Above","30 & Below","NA","Q3 2015"
"238","26","Level 4 & Above",">30 - 100","NA","Q3 2015"
"239","26","Level 4 & Above",">100 - 300","NA","Q3 2015"
"240","26","Level 4 & Above",">300","NA","Q3 2015"
"241","26","B1 & Below","30 & Below","NA","Q4 2015"
"242","26","B1 & Below",">30 - 100","NA","Q4 2015"
"243","26","B1 & Below",">100 - 300","NA","Q4 2015"
"244","26","B1 & Below",">300","NA","Q4 2015"
"245","26","Level 1","30 & Below","NA","Q4 2015"
"246","26","Level 1",">30 - 100","NA","Q4 2015"
"247","26","Level 1",">100 - 300","NA","Q4 2015"
"248","26","Level 1",">300","NA","Q4 2015"
"249","26","Level 2 & 3","30 & Below","NA","Q4 2015"
"250","26","Level 2 & 3",">30 - 100","NA","Q4 2015"
"251","26","Level 2 & 3",">100 - 300","NA","Q4 2015"
"252","26","Level 2 & 3",">300","NA","Q4 2015"
"253","26","Level 4 & Above","30 & Below","NA","Q4 2015"
"254","26","Level 4 & Above",">30 - 100","NA","Q4 2015"
"255","26","Level 4 & Above",">100 - 300","NA","Q4 2015"
"256","26","Level 4 & Above",">300","NA","Q4 2015"
"257","26","B1 & Below","30 & Below","NA","Q1 2016"
"258","26","B1 & Below",">30 - 100","NA","Q1 2016"
"259","26","B1 & Below",">100 - 300","NA","Q1 2016"
"260","26","B1 & Below",">300","NA","Q1 2016"
"261","26","Level 1","30 & Below","NA","Q1 2016"
"262","26","Level 1",">30 - 100","NA","Q1 2016"
"263","26","Level 1",">100 - 300","NA","Q1 2016"
"264","26","Level 1",">300","NA","Q1 2016"
"265","26","Level 2 & 3","30 & Below","NA","Q1 2016"
"266","26","Level 2 & 3",">30 - 100","NA","Q1 2016"
"267","26","Level 2 & 3",">100 - 300","NA","Q1 2016"
"268","26","Level 2 & 3",">300","NA","Q1 2016"
"269","26","Level 4 & Above","30 & Below","NA","Q1 2016"
"270","26","Level 4 & Above",">30 - 100","NA","Q1 2016"
"271","26","Level 4 & Above",">100 - 300","NA","Q1 2016"
"272","26","Level 4 & Above",">300","NA","Q1 2016"
"273","26","B1 & Below","30 & Below","NA","Q2 2016"
"274","26","B1 & Below",">30 - 100","NA","Q2 2016"
"275","26","B1 & Below",">100 - 300","NA","Q2 2016"
"276","26","B1 & Below",">300","NA","Q2 2016"
"277","26","Level 1","30 & Below","NA","Q2 2016"
"278","26","Level 1",">30 - 100","NA","Q2 2016"
"279","26","Level 1",">100 - 300","NA","Q2 2016"
"280","26","Level 1",">300","NA","Q2 2016"
"281","26","Level 2 & 3","30 & Below","NA","Q2 2016"
"282","26","Level 2 & 3",">30 - 100","NA","Q2 2016"
"283","26","Level 2 & 3",">100 - 300","NA","Q2 2016"
"284","26","Level 2 & 3",">300","NA","Q2 2016"
"285","26","Level 4 & Above","30 & Below","NA","Q2 2016"
"286","26","Level 4 & Above",">30 - 100","NA","Q2 2016"
"287","26","Level 4 & Above",">100 - 300","NA","Q2 2016"
"288","26","Level 4 & Above",">300","NA","Q2 2016"
"289","26","B1 & Below","30 & Below","NA","Q3 2016"
"290","26","B1 & Below",">30 - 100","NA","Q3 2016"
"291","26","B1 & Below",">100 - 300","NA","Q3 2016"
"292","26","B1 & Below",">300","NA","Q3 2016"
"293","26","Level 1","30 & Below","NA","Q3 2016"
"294","26","Level 1",">30 - 100","NA","Q3 2016"
"295","26","Level 1",">100 - 300","NA","Q3 2016"
"296","26","Level 1",">300","NA","Q3 2016"
"297","26","Level 2 & 3","30 & Below","NA","Q3 2016"
"298","26","Level 2 & 3",">30 - 100","NA","Q3 2016"
"299","26","Level 2 & 3",">100 - 300","NA","Q3 2016"
"300","26","Level 2 & 3",">300","NA","Q3 2016"
"301","26","Level 4 & Above","30 & Below","NA","Q3 2016"
"302","26","Level 4 & Above",">30 - 100","NA","Q3 2016"
"303","26","Level 4 & Above",">100 - 300","NA","Q3 2016"
"304","26","Level 4 & Above",">300","NA","Q3 2016"
"305","26","B1 & Below","30 & Below","NA","Q4 2016"
"306","26","B1 & Below",">30 - 100","NA","Q4 2016"
"307","26","B1 & Below",">100 - 300","NA","Q4 2016"
"308","26","B1 & Below",">300","NA","Q4 2016"
"309","26","Level 1","30 & Below","NA","Q4 2016"
"310","26","Level 1",">30 - 100","NA","Q4 2016"
"311","26","Level 1",">100 - 300","NA","Q4 2016"
"312","26","Level 1",">300","NA","Q4 2016"
"313","26","Level 2 & 3","30 & Below","NA","Q4 2016"
"314","26","Level 2 & 3",">30 - 100","NA","Q4 2016"
"315","26","Level 2 & 3",">100 - 300","NA","Q4 2016"
"316","26","Level 2 & 3",">300","NA","Q4 2016"
"317","26","Level 4 & Above","30 & Below","NA","Q4 2016"
"318","26","Level 4 & Above",">30 - 100","NA","Q4 2016"
"319","26","Level 4 & Above",">100 - 300","NA","Q4 2016"
"320","26","Level 4 & Above",">300","NA","Q4 2016"
"321","26","B1 & Below","30 & Below","NA","Q1 2017"
"322","26","B1 & Below",">30 - 100","NA","Q1 2017"
"323","26","B1 & Below",">100 - 300","NA","Q1 2017"
"324","26","B1 & Below",">300","NA","Q1 2017"
"325","26","Level 1","30 & Below","NA","Q1 2017"
"326","26","Level 1",">30 - 100","NA","Q1 2017"
"327","26","Level 1",">100 - 300","NA","Q1 2017"
"328","26","Level 1",">300","NA","Q1 2017"
"329","26","Level 2 & 3","30 & Below","NA","Q1 2017"
"330","26","Level 2 & 3",">30 - 100","NA","Q1 2017"
"331","26","Level 2 & 3",">100 - 300","NA","Q1 2017"
"332","26","Level 2 & 3",">300","NA","Q1 2017"
"333","26","Level 4 & Above","30 & Below","NA","Q1 2017"
"334","26","Level 4 & Above",">30 - 100","NA","Q1 2017"
"335","26","Level 4 & Above",">100 - 300","NA","Q1 2017"
"336","26","Level 4 & Above",">300","NA","Q1 2017"
"337","26","B1 & Below","30 & Below","NA","Q2 2017"
"338","26","B1 & Below",">30 - 100","NA","Q2 2017"
"339","26","B1 & Below",">100 - 300","NA","Q2 2017"
"340","26","B1 & Below",">300","NA","Q2 2017"
"341","26","Level 1","30 & Below","NA","Q2 2017"
"342","26","Level 1",">30 - 100","NA","Q2 2017"
"343","26","Level 1",">100 - 300","NA","Q2 2017"
"344","26","Level 1",">300","NA","Q2 2017"
"345","26","Level 2 & 3","30 & Below","NA","Q2 2017"
"346","26","Level 2 & 3",">30 - 100","NA","Q2 2017"
"347","26","Level 2 & 3",">100 - 300","NA","Q2 2017"
"348","26","Level 2 & 3",">300","NA","Q2 2017"
"349","26","Level 4 & Above","30 & Below","NA","Q2 2017"
"350","26","Level 4 & Above",">30 - 100","NA","Q2 2017"
"351","26","Level 4 & Above",">100 - 300","NA","Q2 2017"
"352","26","Level 4 & Above",">300","NA","Q2 2017"
"353","26","B1 & Below","30 & Below","NA","Q3 2017"
"354","26","B1 & Below",">30 - 100","NA","Q3 2017"
"355","26","B1 & Below",">100 - 300","NA","Q3 2017"
"356","26","B1 & Below",">300","NA","Q3 2017"
"357","26","Level 1","30 & Below","NA","Q3 2017"
"358","26","Level 1",">30 - 100","NA","Q3 2017"
"359","26","Level 1",">100 - 300","NA","Q3 2017"
"360","26","Level 1",">300","NA","Q3 2017"
"361","26","Level 2 & 3","30 & Below","NA","Q3 2017"
"362","26","Level 2 & 3",">30 - 100","NA","Q3 2017"
"363","26","Level 2 & 3",">100 - 300","NA","Q3 2017"
"364","26","Level 2 & 3",">300","NA","Q3 2017"
"365","26","Level 4 & Above","30 & Below","NA","Q3 2017"
"366","26","Level 4 & Above",">30 - 100","NA","Q3 2017"
"367","26","Level 4 & Above",">100 - 300","NA","Q3 2017"
"368","26","Level 4 & Above",">300","NA","Q3 2017"
"369","26","B1 & Below","30 & Below","NA","Q4 2017"
"370","26","B1 & Below",">30 - 100","NA","Q4 2017"
"371","26","B1 & Below",">100 - 300","NA","Q4 2017"
"372","26","B1 & Below",">300","NA","Q4 2017"
"373","26","Level 1","30 & Below","NA","Q4 2017"
"374","26","Level 1",">30 - 100","NA","Q4 2017"
"375","26","Level 1",">100 - 300","NA","Q4 2017"
"376","26","Level 1",">300","NA","Q4 2017"
"377","26","Level 2 & 3","30 & Below","NA","Q4 2017"
"378","26","Level 2 & 3",">30 - 100","NA","Q4 2017"
"379","26","Level 2 & 3",">100 - 300","NA","Q4 2017"
"380","26","Level 2 & 3",">300","NA","Q4 2017"
"381","26","Level 4 & Above","30 & Below","NA","Q4 2017"
"382","26","Level 4 & Above",">30 - 100","NA","Q4 2017"
"383","26","Level 4 & Above",">100 - 300","NA","Q4 2017"
"384","26","Level 4 & Above",">300","NA","Q4 2017"
"385","26","B1 & Below","30 & Below","NA","Q1 2018"
"386","26","B1 & Below",">30 - 100","NA","Q1 2018"
"387","26","B1 & Below",">100 - 300","NA","Q1 2018"
"388","26","B1 & Below",">300","NA","Q1 2018"
"389","26","Level 1","30 & Below","NA","Q1 2018"
"390","26","Level 1",">30 - 100","NA","Q1 2018"
"391","26","Level 1",">100 - 300","NA","Q1 2018"
"392","26","Level 1",">300","NA","Q1 2018"
"393","26","Level 2 & 3","30 & Below","NA","Q1 2018"
"394","26","Level 2 & 3",">30 - 100","NA","Q1 2018"
"395","26","Level 2 & 3",">100 - 300","NA","Q1 2018"
"396","26","Level 2 & 3",">300","NA","Q1 2018"
"397","26","Level 4 & Above","30 & Below","NA","Q1 2018"
"398","26","Level 4 & Above",">30 - 100","NA","Q1 2018"
"399","26","Level 4 & Above",">100 - 300","NA","Q1 2018"
"400","26","Level 4 & Above",">300","NA","Q1 2018"
"401","26","B1 & Below","30 & Below","NA","Q2 2018"
"402","26","B1 & Below",">30 - 100","NA","Q2 2018"
"403","26","B1 & Below",">100 - 300","NA","Q2 2018"
"404","26","B1 & Below",">300","NA","Q2 2018"
"405","26","Level 1","30 & Below","NA","Q2 2018"
"406","26","Level 1",">30 - 100","NA","Q2 2018"
"407","26","Level 1",">100 - 300","NA","Q2 2018"
"408","26","Level 1",">300","NA","Q2 2018"
"409","26","Level 2 & 3","30 & Below","NA","Q2 2018"
"410","26","Level 2 & 3",">30 - 100","NA","Q2 2018"
"411","26","Level 2 & 3",">100 - 300","NA","Q2 2018"
"412","26","Level 2 & 3",">300","NA","Q2 2018"
"413","26","Level 4 & Above","30 & Below","NA","Q2 2018"
"414","26","Level 4 & Above",">30 - 100","NA","Q2 2018"
"415","26","Level 4 & Above",">100 - 300","NA","Q2 2018"
"416","26","Level 4 & Above",">300","NA","Q2 2018"
"417","26","B1 & Below","30 & Below","NA","Q3 2018"
"418","26","B1 & Below",">30 - 100","NA","Q3 2018"
"419","26","B1 & Below",">100 - 300","NA","Q3 2018"
"420","26","B1 & Below",">300","NA","Q3 2018"
"421","26","Level 1","30 & Below","NA","Q3 2018"
"422","26","Level 1",">30 - 100","NA","Q3 2018"
"423","26","Level 1",">100 - 300","NA","Q3 2018"
"424","26","Level 1",">300","NA","Q3 2018"
"425","26","Level 2 & 3","30 & Below","NA","Q3 2018"
"426","26","Level 2 & 3",">30 - 100","NA","Q3 2018"
"427","26","Level 2 & 3",">100 - 300","NA","Q3 2018"
"428","26","Level 2 & 3",">300","NA","Q3 2018"
"429","26","Level 4 & Above","30 & Below","NA","Q3 2018"
"430","26","Level 4 & Above",">30 - 100","NA","Q3 2018"
"431","26","Level 4 & Above",">100 - 300","NA","Q3 2018"
"432","26","Level 4 & Above",">300","NA","Q3 2018"
"433","26","B1 & Below","30 & Below","NA","Q4 2018"
"434","26","B1 & Below",">30 - 100","NA","Q4 2018"
"435","26","B1 & Below",">100 - 300","NA","Q4 2018"
"436","26","B1 & Below",">300","NA","Q4 2018"
"437","26","Level 1","30 & Below","NA","Q4 2018"
"438","26","Level 1",">30 - 100","38.52","Q4 2018"
"439","26","Level 1",">100 - 300","NA","Q4 2018"
"440","26","Level 1",">300","NA","Q4 2018"
"441","26","Level 2 & 3","30 & Below","NA","Q4 2018"
"442","26","Level 2 & 3",">30 - 100","NA","Q4 2018"
"443","26","Level 2 & 3",">100 - 300","NA","Q4 2018"
"444","26","Level 2 & 3",">300","NA","Q4 2018"
"445","26","Level 4 & Above","30 & Below","NA","Q4 2018"
"446","26","Level 4 & Above",">30 - 100","NA","Q4 2018"
"447","26","Level 4 & Above",">100 - 300","NA","Q4 2018"
"448","26","Level 4 & Above",">300","NA","Q4 2018"
"449","26","B1 & Below","30 & Below","NA","Q1 2019"
"450","26","B1 & Below",">30 - 100","NA","Q1 2019"
"451","26","B1 & Below",">100 - 300","NA","Q1 2019"
"452","26","B1 & Below",">300","NA","Q1 2019"
"453","26","Level 1","30 & Below","NA","Q1 2019"
"454","26","Level 1",">30 - 100","NA","Q1 2019"
"455","26","Level 1",">100 - 300","NA","Q1 2019"
"456","26","Level 1",">300","NA","Q1 2019"
"457","26","Level 2 & 3","30 & Below","NA","Q1 2019"
"458","26","Level 2 & 3",">30 - 100","NA","Q1 2019"
"459","26","Level 2 & 3",">100 - 300","NA","Q1 2019"
"460","26","Level 2 & 3",">300","NA","Q1 2019"
"461","26","Level 4 & Above","30 & Below","NA","Q1 2019"
"462","26","Level 4 & Above",">30 - 100","NA","Q1 2019"
"463","26","Level 4 & Above",">100 - 300","NA","Q1 2019"
"464","26","Level 4 & Above",">300","NA","Q1 2019"
"465","26","B1 & Below","30 & Below","NA","Q2 2019"
"466","26","B1 & Below",">30 - 100","NA","Q2 2019"
"467","26","B1 & Below",">100 - 300","NA","Q2 2019"
"468","26","B1 & Below",">300","NA","Q2 2019"
"469","26","Level 1","30 & Below","NA","Q2 2019"
"470","26","Level 1",">30 - 100","NA","Q2 2019"
"471","26","Level 1",">100 - 300","NA","Q2 2019"
"472","26","Level 1",">300","NA","Q2 2019"
