"URBAN REDEVELOPMENT AUTHORITY - Rental Contracts of Private Retail Properties"

"S/N","Postal District","Floor Level","Floor Area (Sqm)","Median Rent (Sqm)","Reference Period"
"1","06","B1 & Below","30 & Below","65.22","Q1 2012"
"2","06","B1 & Below",">30 - 100","71.70","Q1 2012"
"3","06","B1 & Below",">100 - 300","NA","Q1 2012"
"4","06","B1 & Below",">300","NA","Q1 2012"
"5","06","Level 1","30 & Below","202.03","Q1 2012"
"6","06","Level 1",">30 - 100","121.63","Q1 2012"
"7","06","Level 1",">100 - 300","201.84","Q1 2012"
"8","06","Level 1",">300","NA","Q1 2012"
"9","06","Level 2 & 3","30 & Below","86.67","Q1 2012"
"10","06","Level 2 & 3",">30 - 100","68.18","Q1 2012"
"11","06","Level 2 & 3",">100 - 300","NA","Q1 2012"
"12","06","Level 2 & 3",">300","NA","Q1 2012"
"13","06","Level 4 & Above","30 & Below","NA","Q1 2012"
"14","06","Level 4 & Above",">30 - 100","64.47","Q1 2012"
"15","06","Level 4 & Above",">100 - 300","68.35","Q1 2012"
"16","06","Level 4 & Above",">300","NA","Q1 2012"
"17","06","B1 & Below","30 & Below","68.75","Q2 2012"
"18","06","B1 & Below",">30 - 100","68.85","Q2 2012"
"19","06","B1 & Below",">100 - 300","NA","Q2 2012"
"20","06","B1 & Below",">300","NA","Q2 2012"
"21","06","Level 1","30 & Below","121.74","Q2 2012"
"22","06","Level 1",">30 - 100","136.20","Q2 2012"
"23","06","Level 1",">100 - 300","116.28","Q2 2012"
"24","06","Level 1",">300","NA","Q2 2012"
"25","06","Level 2 & 3","30 & Below","103.23","Q2 2012"
"26","06","Level 2 & 3",">30 - 100","84.17","Q2 2012"
"27","06","Level 2 & 3",">100 - 300","80.03","Q2 2012"
"28","06","Level 2 & 3",">300","NA","Q2 2012"
"29","06","Level 4 & Above","30 & Below","71.40","Q2 2012"
"30","06","Level 4 & Above",">30 - 100","64.58","Q2 2012"
"31","06","Level 4 & Above",">100 - 300","89.34","Q2 2012"
"32","06","Level 4 & Above",">300","NA","Q2 2012"
"33","06","B1 & Below","30 & Below","92.00","Q3 2012"
"34","06","B1 & Below",">30 - 100","61.11","Q3 2012"
"35","06","B1 & Below",">100 - 300","NA","Q3 2012"
"36","06","B1 & Below",">300","NA","Q3 2012"
"37","06","Level 1","30 & Below","236.84","Q3 2012"
"38","06","Level 1",">30 - 100","173.05","Q3 2012"
"39","06","Level 1",">100 - 300","NA","Q3 2012"
