"URBAN REDEVELOPMENT AUTHORITY - Rental Contracts of Private Retail Properties"

"S/N","Postal District","Floor Level","Floor Area (Sqm)","Median Rent (Sqm)","Reference Period"
"91","01","Level 2 & 3",">100 - 300","68.12","Q2 2013"
"92","01","Level 2 & 3",">300","75.35","Q2 2013"
"93","01","Level 4 & Above","30 & Below","75.38","Q2 2013"
"94","01","Level 4 & Above",">30 - 100","63.35","Q2 2013"
"95","01","Level 4 & Above",">100 - 300","NA","Q2 2013"
"96","01","Level 4 & Above",">300","NA","Q2 2013"
"97","01","B1 & Below","30 & Below","64.45","Q3 2013"
"98","01","B1 & Below",">30 - 100","144.84","Q3 2013"
"99","01","B1 & Below",">100 - 300","88.81","Q3 2013"
"100","01","B1 & Below",">300","NA","Q3 2013"
"101","01","Level 1","30 & Below","214.28","Q3 2013"
"102","01","Level 1",">30 - 100","177.74","Q3 2013"
"103","01","Level 1",">100 - 300","129.17","Q3 2013"
"104","01","Level 1",">300","79.77","Q3 2013"
"105","01","Level 2 & 3","30 & Below","132.45","Q3 2013"
"106","01","Level 2 & 3",">30 - 100","101.14","Q3 2013"
"107","01","Level 2 & 3",">100 - 300","75.33","Q3 2013"
"108","01","Level 2 & 3",">300","123.47","Q3 2013"
"109","01","Level 4 & Above","30 & Below","105.55","Q3 2013"
"110","01","Level 4 & Above",">30 - 100","61.97","Q3 2013"
"111","01","Level 4 & Above",">100 - 300","NA","Q3 2013"
"112","01","Level 4 & Above",">300","NA","Q3 2013"
"113","01","B1 & Below","30 & Below","112.89","Q4 2013"
"114","01","B1 & Below",">30 - 100","123.78","Q4 2013"
"115","01","B1 & Below",">100 - 300","161.47","Q4 2013"
"116","01","B1 & Below",">300","NA","Q4 2013"
"117","01","Level 1","30 & Below","204.49","Q4 2013"
"118","01","Level 1",">30 - 100","174.37","Q4 2013"
"119","01","Level 1",">100 - 300","104.97","Q4 2013"
"120","01","Level 1",">300","53.82","Q4 2013"
"121","01","Level 2 & 3","30 & Below","135.78","Q4 2013"
"122","01","Level 2 & 3",">30 - 100","97.31","Q4 2013"
"123","01","Level 2 & 3",">100 - 300","105.26","Q4 2013"
"124","01","Level 2 & 3",">300","104.29","Q4 2013"
"125","01","Level 4 & Above","30 & Below","NA","Q4 2013"
"126","01","Level 4 & Above",">30 - 100","69.84","Q4 2013"
"127","01","Level 4 & Above",">100 - 300","NA","Q4 2013"
"128","01","Level 4 & Above",">300","NA","Q4 2013"
"129","01","B1 & Below","30 & Below","165.58","Q1 2014"
"130","01","B1 & Below",">30 - 100","129.17","Q1 2014"
"131","01","B1 & Below",">100 - 300","156.08","Q1 2014"
"132","01","B1 & Below",">300","NA","Q1 2014"
"133","01","Level 1","30 & Below","204.53","Q1 2014"
"134","01","Level 1",">30 - 100","216.23","Q1 2014"
"135","01","Level 1",">100 - 300","193.75","Q1 2014"
"136","01","Level 1",">300","70.09","Q1 2014"
"137","01","Level 2 & 3","30 & Below","86.22","Q1 2014"
"138","01","Level 2 & 3",">30 - 100","117.94","Q1 2014"
"139","01","Level 2 & 3",">100 - 300","76.05","Q1 2014"
"140","01","Level 2 & 3",">300","88.16","Q1 2014"
"141","01","Level 4 & Above","30 & Below","84.62","Q1 2014"
"142","01","Level 4 & Above",">30 - 100","71.09","Q1 2014"
"143","01","Level 4 & Above",">100 - 300","NA","Q1 2014"
"144","01","Level 4 & Above",">300","NA","Q1 2014"
"145","01","B1 & Below","30 & Below","106.82","Q2 2014"
"146","01","B1 & Below",">30 - 100","123.35","Q2 2014"
"147","01","B1 & Below",">100 - 300","88.75","Q2 2014"
"148","01","B1 & Below",">300","NA","Q2 2014"
"149","01","Level 1","30 & Below","184.53","Q2 2014"
"150","01","Level 1",">30 - 100","172.36","Q2 2014"
"151","01","Level 1",">100 - 300","108.15","Q2 2014"
