"URBAN REDEVELOPMENT AUTHORITY - Rental Contracts of Private Office Properties"

"S/N","Location","Building Class","Floor Area (Sqm)","Median Rent (Sqm)","Reference Period"
"456","Fringe Area","Category 2","100 & Below","47.37","Q4 2014"
"457","Fringe Area","Category 2",">100 - 200","49.17","Q4 2014"
"458","Fringe Area","Category 2",">1000","65.69","Q4 2014"
"459","Fringe Area","Category 2",">200 - 500","58.38","Q4 2014"
"460","Fringe Area","Category 2",">500 - 1000","48.44","Q4 2014"
"461","Fringe Area","Category 2","100 & Below","48.72","Q1 2015"
"462","Fringe Area","Category 2",">100 - 200","54.17","Q1 2015"
"463","Fringe Area","Category 2",">1000","41.98","Q1 2015"
"464","Fringe Area","Category 2",">200 - 500","70.90","Q1 2015"
"465","Fringe Area","Category 2",">500 - 1000","71.58","Q1 2015"
"466","Fringe Area","Category 2","100 & Below","48.44","Q2 2015"
"467","Fringe Area","Category 2",">100 - 200","52.08","Q2 2015"
"468","Fringe Area","Category 2",">1000","53.89","Q2 2015"
"469","Fringe Area","Category 2",">200 - 500","60.05","Q2 2015"
"470","Fringe Area","Category 2",">500 - 1000","53.24","Q2 2015"
"471","Fringe Area","Category 2","100 & Below","44.00","Q3 2015"
"472","Fringe Area","Category 2",">100 - 200","46.28","Q3 2015"
"473","Fringe Area","Category 2",">1000","44.27","Q3 2015"
"474","Fringe Area","Category 2",">200 - 500","51.42","Q3 2015"
"475","Fringe Area","Category 2",">500 - 1000","24.28","Q3 2015"
"476","Fringe Area","Category 2","100 & Below","43.00","Q4 2015"
"477","Fringe Area","Category 2",">100 - 200","48.46","Q4 2015"
"478","Fringe Area","Category 2",">1000","22.35","Q4 2015"
"479","Fringe Area","Category 2",">200 - 500","46.23","Q4 2015"
"480","Fringe Area","Category 2",">500 - 1000","74.25","Q4 2015"
"481","Fringe Area","Category 2","100 & Below","43.18","Q1 2016"
"482","Fringe Area","Category 2",">100 - 200","44.76","Q1 2016"
"483","Fringe Area","Category 2",">1000","NA","Q1 2016"
"484","Fringe Area","Category 2",">200 - 500","62.42","Q1 2016"
"485","Fringe Area","Category 2",">500 - 1000","50.30","Q1 2016"
"486","Fringe Area","Category 2","100 & Below","43.05","Q2 2016"
"487","Fringe Area","Category 2",">100 - 200","48.41","Q2 2016"
"488","Fringe Area","Category 2",">1000","67.81","Q2 2016"
"489","Fringe Area","Category 2",">200 - 500","57.32","Q2 2016"
"490","Fringe Area","Category 2",">500 - 1000","39.83","Q2 2016"
"491","Fringe Area","Category 2","100 & Below","44.78","Q3 2016"
"492","Fringe Area","Category 2",">100 - 200","44.55","Q3 2016"
"493","Fringe Area","Category 2",">1000","50.19","Q3 2016"
"494","Fringe Area","Category 2",">200 - 500","48.36","Q3 2016"
"495","Fringe Area","Category 2",">500 - 1000","40.36","Q3 2016"
"496","Fringe Area","Category 2","100 & Below","43.25","Q4 2016"
"497","Fringe Area","Category 2",">100 - 200","47.93","Q4 2016"
"498","Fringe Area","Category 2",">1000","49.49","Q4 2016"
"499","Fringe Area","Category 2",">200 - 500","55.98","Q4 2016"
"500","Fringe Area","Category 2",">500 - 1000","52.34","Q4 2016"
"501","Fringe Area","Category 2","100 & Below","44.44","Q1 2017"
"502","Fringe Area","Category 2",">100 - 200","47.62","Q1 2017"
"503","Fringe Area","Category 2",">1000","62.73","Q1 2017"
"504","Fringe Area","Category 2",">200 - 500","57.05","Q1 2017"
"505","Fringe Area","Category 2",">500 - 1000","52.74","Q1 2017"
"506","Fringe Area","Category 2","100 & Below","45.10","Q2 2017"
"507","Fringe Area","Category 2",">100 - 200","50.00","Q2 2017"
"508","Fringe Area","Category 2",">1000","66.74","Q2 2017"
"509","Fringe Area","Category 2",">200 - 500","60.28","Q2 2017"
"510","Fringe Area","Category 2",">500 - 1000","55.43","Q2 2017"
"511","Fringe Area","Category 2","100 & Below","46.00","Q3 2017"
"512","Fringe Area","Category 2",">100 - 200","48.74","Q3 2017"
"513","Fringe Area","Category 2",">1000","65.67","Q3 2017"
"514","Fringe Area","Category 2",">200 - 500","58.13","Q3 2017"
"515","Fringe Area","Category 2",">500 - 1000","59.49","Q3 2017"
"516","Fringe Area","Category 2","100 & Below","46.29","Q4 2017"
"517","Fringe Area","Category 2",">100 - 200","49.19","Q4 2017"
"518","Fringe Area","Category 2",">1000","71.16","Q4 2017"
"519","Fringe Area","Category 2",">200 - 500","65.67","Q4 2017"
"520","Fringe Area","Category 2",">500 - 1000","53.67","Q4 2017"
"521","Fringe Area","Category 2","100 & Below","47.50","Q1 2018"
"522","Fringe Area","Category 2",">100 - 200","50.50","Q1 2018"
"523","Fringe Area","Category 2",">1000","67.80","Q1 2018"
"524","Fringe Area","Category 2",">200 - 500","58.37","Q1 2018"
"525","Fringe Area","Category 2",">500 - 1000","58.66","Q1 2018"
"526","Fringe Area","Category 2","100 & Below","48.11","Q2 2018"
"527","Fringe Area","Category 2",">100 - 200","50.06","Q2 2018"
"528","Fringe Area","Category 2",">1000","57.59","Q2 2018"
"529","Fringe Area","Category 2",">200 - 500","73.18","Q2 2018"
"530","Fringe Area","Category 2",">500 - 1000","46.38","Q2 2018"
"531","Fringe Area","Category 2","100 & Below","42.96","Q3 2018"
"532","Fringe Area","Category 2",">100 - 200","48.44","Q3 2018"
"533","Fringe Area","Category 2",">1000","73.20","Q3 2018"
"534","Fringe Area","Category 2",">200 - 500","59.98","Q3 2018"
"535","Fringe Area","Category 2",">500 - 1000","58.25","Q3 2018"
"536","Fringe Area","Category 2","100 & Below","46.51","Q4 2018"
"537","Fringe Area","Category 2",">100 - 200","49.07","Q4 2018"
"538","Fringe Area","Category 2",">1000","73.20","Q4 2018"
"539","Fringe Area","Category 2",">200 - 500","68.89","Q4 2018"
"540","Fringe Area","Category 2",">500 - 1000","56.99","Q4 2018"
"541","Fringe Area","Category 2","100 & Below","47.29","Q1 2019"
"542","Fringe Area","Category 2",">100 - 200","51.16","Q1 2019"
"543","Fringe Area","Category 2",">1000","79.36","Q1 2019"
"544","Fringe Area","Category 2",">200 - 500","56.00","Q1 2019"
"545","Fringe Area","Category 2",">500 - 1000","64.58","Q1 2019"
"546","Fringe Area","Category 2","100 & Below","46.12","Q2 2019"
"547","Fringe Area","Category 2",">100 - 200","49.33","Q2 2019"
"548","Fringe Area","Category 2",">1000","89.34","Q2 2019"
"549","Fringe Area","Category 2",">200 - 500","61.35","Q2 2019"
"550","Fringe Area","Category 2",">500 - 1000","78.55","Q2 2019"
"551","Fringe Area","Category 2","100 & Below","43.75","Q3 2019"
"552","Fringe Area","Category 2",">100 - 200","47.60","Q3 2019"
"553","Fringe Area","Category 2",">1000","62.44","Q3 2019"
"554","Fringe Area","Category 2",">200 - 500","68.89","Q3 2019"
"555","Fringe Area","Category 2",">500 - 1000","31.52","Q3 2019"
"556","Fringe Area","Category 2","100 & Below","48.53","Q4 2019"
"557","Fringe Area","Category 2",">100 - 200","46.77","Q4 2019"
"558","Fringe Area","Category 2",">1000","27.52","Q4 2019"
"559","Fringe Area","Category 2",">200 - 500","77.96","Q4 2019"
"560","Fringe Area","Category 2",">500 - 1000","71.05","Q4 2019"
"561","Fringe Area","Category 2","100 & Below","48.51","Q1 2020"
"562","Fringe Area","Category 2",">100 - 200","45.51","Q1 2020"
"563","Fringe Area","Category 2",">1000","27.82","Q1 2020"
"564","Fringe Area","Category 2",">200 - 500","59.21","Q1 2020"
"565","Fringe Area","Category 2",">500 - 1000","50.75","Q1 2020"
"566","Fringe Area","Category 2","100 & Below","45.34","Q2 2020"
"567","Fringe Area","Category 2",">100 - 200","45.36","Q2 2020"
"568","Fringe Area","Category 2",">1000","57.44","Q2 2020"
"569","Fringe Area","Category 2",">200 - 500","59.76","Q2 2020"
"570","Fringe Area","Category 2",">500 - 1000","54.31","Q2 2020"
"571","Fringe Area","Category 2","100 & Below","42.06","Q3 2020"
"572","Fringe Area","Category 2",">100 - 200","34.55","Q3 2020"
"573","Fringe Area","Category 2",">1000","68.30","Q3 2020"
"574","Fringe Area","Category 2",">200 - 500","62.43","Q3 2020"
"575","Fringe Area","Category 2",">500 - 1000","40.37","Q3 2020"
"576","Fringe Area","Category 2","100 & Below","45.00","Q4 2020"
"577","Fringe Area","Category 2",">100 - 200","40.63","Q4 2020"
"578","Fringe Area","Category 2",">1000","68.89","Q4 2020"
"579","Fringe Area","Category 2",">200 - 500","46.62","Q4 2020"
"580","Fringe Area","Category 2",">500 - 1000","42.44","Q4 2020"
"581","Fringe Area","Category 2","100 & Below","47.83","Q1 2021"
"582","Fringe Area","Category 2",">100 - 200","49.06","Q1 2021"
"583","Fringe Area","Category 2",">1000","75.35","Q1 2021"
"584","Fringe Area","Category 2",">200 - 500","64.58","Q1 2021"
"585","Fringe Area","Category 2",">500 - 1000","60.63","Q1 2021"
"586","Fringe Area","Category 2","100 & Below","48.21","Q2 2021"
"587","Fringe Area","Category 2",">100 - 200","48.88","Q2 2021"
"588","Fringe Area","Category 2",">1000","72.76","Q2 2021"
"589","Fringe Area","Category 2",">200 - 500","61.18","Q2 2021"
"590","Fringe Area","Category 2",">500 - 1000","69.84","Q2 2021"
"591","Fringe Area","Category 2","100 & Below","45.65","Q3 2021"
"592","Fringe Area","Category 2",">100 - 200","52.36","Q3 2021"
"593","Fringe Area","Category 2",">1000","59.89","Q3 2021"
"594","Fringe Area","Category 2",">200 - 500","52.74","Q3 2021"
"595","Fringe Area","Category 2",">500 - 1000","64.59","Q3 2021"
"596","Fringe Area","Category 2","100 & Below","46.15","Q4 2021"
"597","Fringe Area","Category 2",">100 - 200","44.67","Q4 2021"
"598","Fringe Area","Category 2",">1000","77.64","Q4 2021"
"599","Fringe Area","Category 2",">200 - 500","60.54","Q4 2021"
"600","Fringe Area","Category 2",">500 - 1000","51.15","Q4 2021"
"601","Outside Central Region","Category 2","100 & Below","27.12","Q1 2012"
"602","Outside Central Region","Category 2",">100 - 200","NA","Q1 2012"
"603","Outside Central Region","Category 2",">1000","NA","Q1 2012"
"604","Outside Central Region","Category 2",">200 - 500","NA","Q1 2012"
"605","Outside Central Region","Category 2",">500 - 1000","NA","Q1 2012"
"606","Outside Central Region","Category 2","100 & Below","44.97","Q2 2012"
"607","Outside Central Region","Category 2",">100 - 200","NA","Q2 2012"
"608","Outside Central Region","Category 2",">1000","NA","Q2 2012"
"609","Outside Central Region","Category 2",">200 - 500","NA","Q2 2012"
"610","Outside Central Region","Category 2",">500 - 1000","NA","Q2 2012"
"611","Outside Central Region","Category 2","100 & Below","48.04","Q3 2012"
"612","Outside Central Region","Category 2",">100 - 200","74.02","Q3 2012"
"613","Outside Central Region","Category 2",">1000","NA","Q3 2012"
"614","Outside Central Region","Category 2",">200 - 500","NA","Q3 2012"
"615","Outside Central Region","Category 2",">500 - 1000","NA","Q3 2012"
"616","Outside Central Region","Category 2","100 & Below","34.25","Q4 2012"
"617","Outside Central Region","Category 2",">100 - 200","39.16","Q4 2012"
"618","Outside Central Region","Category 2",">1000","NA","Q4 2012"
"619","Outside Central Region","Category 2",">200 - 500","48.41","Q4 2012"
"620","Outside Central Region","Category 2",">500 - 1000","NA","Q4 2012"
"621","Outside Central Region","Category 2","100 & Below","32.24","Q1 2013"
"622","Outside Central Region","Category 2",">100 - 200","51.13","Q1 2013"
"623","Outside Central Region","Category 2",">1000","NA","Q1 2013"
"624","Outside Central Region","Category 2",">200 - 500","69.27","Q1 2013"
"625","Outside Central Region","Category 2",">500 - 1000","NA","Q1 2013"
"626","Outside Central Region","Category 2","100 & Below","41.54","Q2 2013"
"627","Outside Central Region","Category 2",">100 - 200","NA","Q2 2013"
"628","Outside Central Region","Category 2",">1000","NA","Q2 2013"
"629","Outside Central Region","Category 2",">200 - 500","NA","Q2 2013"
"630","Outside Central Region","Category 2",">500 - 1000","NA","Q2 2013"
"631","Outside Central Region","Category 2","100 & Below","35.70","Q3 2013"
"632","Outside Central Region","Category 2",">100 - 200","NA","Q3 2013"
"633","Outside Central Region","Category 2",">1000","NA","Q3 2013"
"634","Outside Central Region","Category 2",">200 - 500","NA","Q3 2013"
"635","Outside Central Region","Category 2",">500 - 1000","NA","Q3 2013"
"636","Outside Central Region","Category 2","100 & Below","38.16","Q4 2013"
"637","Outside Central Region","Category 2",">100 - 200","NA","Q4 2013"
"638","Outside Central Region","Category 2",">1000","NA","Q4 2013"
"639","Outside Central Region","Category 2",">200 - 500","NA","Q4 2013"
"640","Outside Central Region","Category 2",">500 - 1000","NA","Q4 2013"
"641","Outside Central Region","Category 2","100 & Below","35.35","Q1 2014"
"642","Outside Central Region","Category 2",">100 - 200","NA","Q1 2014"
"643","Outside Central Region","Category 2",">1000","NA","Q1 2014"
"644","Outside Central Region","Category 2",">200 - 500","70.83","Q1 2014"
"645","Outside Central Region","Category 2",">500 - 1000","NA","Q1 2014"
"646","Outside Central Region","Category 2","100 & Below","37.80","Q2 2014"
"647","Outside Central Region","Category 2",">100 - 200","43.58","Q2 2014"
"648","Outside Central Region","Category 2",">1000","NA","Q2 2014"
"649","Outside Central Region","Category 2",">200 - 500","50.15","Q2 2014"
"650","Outside Central Region","Category 2",">500 - 1000","NA","Q2 2014"
"651","Outside Central Region","Category 2","100 & Below","42.50","Q3 2014"
"652","Outside Central Region","Category 2",">100 - 200","51.67","Q3 2014"
"653","Outside Central Region","Category 2",">1000","57.25","Q3 2014"
"654","Outside Central Region","Category 2",">200 - 500","26.37","Q3 2014"
"655","Outside Central Region","Category 2",">500 - 1000","NA","Q3 2014"
"656","Outside Central Region","Category 2","100 & Below","33.33","Q4 2014"
"657","Outside Central Region","Category 2",">100 - 200","NA","Q4 2014"
"658","Outside Central Region","Category 2",">1000","NA","Q4 2014"
"659","Outside Central Region","Category 2",">200 - 500","37.05","Q4 2014"
"660","Outside Central Region","Category 2",">500 - 1000","NA","Q4 2014"
"661","Outside Central Region","Category 2","100 & Below","45.83","Q1 2015"
"662","Outside Central Region","Category 2",">100 - 200","62.43","Q1 2015"
"663","Outside Central Region","Category 2",">1000","NA","Q1 2015"
"664","Outside Central Region","Category 2",">200 - 500","52.02","Q1 2015"
"665","Outside Central Region","Category 2",">500 - 1000","NA","Q1 2015"
"666","Outside Central Region","Category 2","100 & Below","31.18","Q2 2015"
"667","Outside Central Region","Category 2",">100 - 200","52.48","Q2 2015"
"668","Outside Central Region","Category 2",">1000","NA","Q2 2015"
"669","Outside Central Region","Category 2",">200 - 500","NA","Q2 2015"
"670","Outside Central Region","Category 2",">500 - 1000","56.96","Q2 2015"
"671","Outside Central Region","Category 2","100 & Below","NA","Q3 2015"
"672","Outside Central Region","Category 2",">100 - 200","NA","Q3 2015"
"673","Outside Central Region","Category 2",">1000","NA","Q3 2015"
"674","Outside Central Region","Category 2",">200 - 500","NA","Q3 2015"
"675","Outside Central Region","Category 2",">500 - 1000","NA","Q3 2015"
"676","Outside Central Region","Category 2","100 & Below","NA","Q4 2015"
"677","Outside Central Region","Category 2",">100 - 200","55.93","Q4 2015"
"678","Outside Central Region","Category 2",">1000","NA","Q4 2015"
"679","Outside Central Region","Category 2",">200 - 500","NA","Q4 2015"
"680","Outside Central Region","Category 2",">500 - 1000","NA","Q4 2015"
"681","Outside Central Region","Category 2","100 & Below","NA","Q1 2016"
"682","Outside Central Region","Category 2",">100 - 200","NA","Q1 2016"
"683","Outside Central Region","Category 2",">1000","NA","Q1 2016"
"684","Outside Central Region","Category 2",">200 - 500","NA","Q1 2016"
"685","Outside Central Region","Category 2",">500 - 1000","NA","Q1 2016"
"686","Outside Central Region","Category 2","100 & Below","NA","Q2 2016"
"687","Outside Central Region","Category 2",">100 - 200","NA","Q2 2016"
"688","Outside Central Region","Category 2",">1000","NA","Q2 2016"
"689","Outside Central Region","Category 2",">200 - 500","NA","Q2 2016"
"690","Outside Central Region","Category 2",">500 - 1000","NA","Q2 2016"
"691","Outside Central Region","Category 2","100 & Below","NA","Q3 2016"
"692","Outside Central Region","Category 2",">100 - 200","NA","Q3 2016"
"693","Outside Central Region","Category 2",">1000","NA","Q3 2016"
"694","Outside Central Region","Category 2",">200 - 500","NA","Q3 2016"
"695","Outside Central Region","Category 2",">500 - 1000","NA","Q3 2016"
"696","Outside Central Region","Category 2","100 & Below","NA","Q4 2016"
"697","Outside Central Region","Category 2",">100 - 200","NA","Q4 2016"
"698","Outside Central Region","Category 2",">1000","NA","Q4 2016"
"699","Outside Central Region","Category 2",">200 - 500","NA","Q4 2016"
"700","Outside Central Region","Category 2",">500 - 1000","NA","Q4 2016"
"701","Outside Central Region","Category 2","100 & Below","66.25","Q1 2017"
"702","Outside Central Region","Category 2",">100 - 200","NA","Q1 2017"
"703","Outside Central Region","Category 2",">1000","NA","Q1 2017"
"704","Outside Central Region","Category 2",">200 - 500","NA","Q1 2017"
"705","Outside Central Region","Category 2",">500 - 1000","NA","Q1 2017"
"706","Outside Central Region","Category 2","100 & Below","45.83","Q2 2017"
"707","Outside Central Region","Category 2",">100 - 200","47.90","Q2 2017"
"708","Outside Central Region","Category 2",">1000","NA","Q2 2017"
"709","Outside Central Region","Category 2",">200 - 500","59.74","Q2 2017"
"710","Outside Central Region","Category 2",">500 - 1000","NA","Q2 2017"
"711","Outside Central Region","Category 2","100 & Below","48.78","Q3 2017"
"712","Outside Central Region","Category 2",">100 - 200","62.43","Q3 2017"
"713","Outside Central Region","Category 2",">1000","NA","Q3 2017"
"714","Outside Central Region","Category 2",">200 - 500","NA","Q3 2017"
"715","Outside Central Region","Category 2",">500 - 1000","NA","Q3 2017"
"716","Outside Central Region","Category 2","100 & Below","46.29","Q4 2017"
"717","Outside Central Region","Category 2",">100 - 200","50.59","Q4 2017"
"718","Outside Central Region","Category 2",">1000","NA","Q4 2017"
"719","Outside Central Region","Category 2",">200 - 500","66.82","Q4 2017"
"720","Outside Central Region","Category 2",">500 - 1000","56.98","Q4 2017"
"721","Outside Central Region","Category 2","100 & Below","37.50","Q1 2018"
"722","Outside Central Region","Category 2",">100 - 200","50.86","Q1 2018"
"723","Outside Central Region","Category 2",">1000","NA","Q1 2018"
"724","Outside Central Region","Category 2",">200 - 500","59.20","Q1 2018"
"725","Outside Central Region","Category 2",">500 - 1000","NA","Q1 2018"
"726","Outside Central Region","Category 2","100 & Below","41.67","Q2 2018"
"727","Outside Central Region","Category 2",">100 - 200","53.83","Q2 2018"
"728","Outside Central Region","Category 2",">1000","NA","Q2 2018"
"729","Outside Central Region","Category 2",">200 - 500","58.68","Q2 2018"
"730","Outside Central Region","Category 2",">500 - 1000","NA","Q2 2018"
"731","Outside Central Region","Category 2","100 & Below","36.02","Q3 2018"
"732","Outside Central Region","Category 2",">100 - 200","41.28","Q3 2018"
"733","Outside Central Region","Category 2",">1000","NA","Q3 2018"
"734","Outside Central Region","Category 2",">200 - 500","NA","Q3 2018"
"735","Outside Central Region","Category 2",">500 - 1000","53.28","Q3 2018"
"736","Outside Central Region","Category 2","100 & Below","37.50","Q4 2018"
"737","Outside Central Region","Category 2",">100 - 200","48.43","Q4 2018"
"738","Outside Central Region","Category 2",">1000","NA","Q4 2018"
"739","Outside Central Region","Category 2",">200 - 500","62.42","Q4 2018"
"740","Outside Central Region","Category 2",">500 - 1000","40.46","Q4 2018"
"741","Outside Central Region","Category 2","100 & Below","37.50","Q1 2019"
"742","Outside Central Region","Category 2",">100 - 200","54.36","Q1 2019"
"743","Outside Central Region","Category 2",">1000","NA","Q1 2019"
"744","Outside Central Region","Category 2",">200 - 500","56.24","Q1 2019"
"745","Outside Central Region","Category 2",">500 - 1000","NA","Q1 2019"
"746","Outside Central Region","Category 2","100 & Below","41.67","Q2 2019"
"747","Outside Central Region","Category 2",">100 - 200","53.28","Q2 2019"
"748","Outside Central Region","Category 2",">1000","NA","Q2 2019"
"749","Outside Central Region","Category 2",">200 - 500","NA","Q2 2019"
"750","Outside Central Region","Category 2",">500 - 1000","NA","Q2 2019"
"751","Outside Central Region","Category 2","100 & Below","42.71","Q3 2019"
"752","Outside Central Region","Category 2",">100 - 200","55.97","Q3 2019"
"753","Outside Central Region","Category 2",">1000","NA","Q3 2019"
"754","Outside Central Region","Category 2",">200 - 500","64.96","Q3 2019"
"755","Outside Central Region","Category 2",">500 - 1000","59.56","Q3 2019"
"756","Outside Central Region","Category 2","100 & Below","41.67","Q4 2019"
"757","Outside Central Region","Category 2",">100 - 200","45.71","Q4 2019"
"758","Outside Central Region","Category 2",">1000","66.30","Q4 2019"
"759","Outside Central Region","Category 2",">200 - 500","56.89","Q4 2019"
"760","Outside Central Region","Category 2",">500 - 1000","NA","Q4 2019"
"761","Outside Central Region","Category 2","100 & Below","42.25","Q1 2020"
"762","Outside Central Region","Category 2",">100 - 200","51.67","Q1 2020"
"763","Outside Central Region","Category 2",">1000","57.47","Q1 2020"
"764","Outside Central Region","Category 2",">200 - 500","59.20","Q1 2020"
"765","Outside Central Region","Category 2",">500 - 1000","60.82","Q1 2020"
"766","Outside Central Region","Category 2","100 & Below","52.47","Q2 2020"
"767","Outside Central Region","Category 2",">100 - 200","45.15","Q2 2020"
"768","Outside Central Region","Category 2",">1000","63.29","Q2 2020"
"769","Outside Central Region","Category 2",">200 - 500","25.83","Q2 2020"
"770","Outside Central Region","Category 2",">500 - 1000","53.48","Q2 2020"
"771","Outside Central Region","Category 2","100 & Below","38.73","Q3 2020"
"772","Outside Central Region","Category 2",">100 - 200","56.50","Q3 2020"
"773","Outside Central Region","Category 2",">1000","88.49","Q3 2020"
"774","Outside Central Region","Category 2",">200 - 500","53.82","Q3 2020"
"775","Outside Central Region","Category 2",">500 - 1000","75.24","Q3 2020"
"776","Outside Central Region","Category 2","100 & Below","39.58","Q4 2020"
"777","Outside Central Region","Category 2",">100 - 200","40.98","Q4 2020"
"778","Outside Central Region","Category 2",">1000","110.75","Q4 2020"
"779","Outside Central Region","Category 2",">200 - 500","50.60","Q4 2020"
"780","Outside Central Region","Category 2",">500 - 1000","59.20","Q4 2020"
"781","Outside Central Region","Category 2","100 & Below","39.58","Q1 2021"
"782","Outside Central Region","Category 2",">100 - 200","48.44","Q1 2021"
"783","Outside Central Region","Category 2",">1000","58.65","Q1 2021"
"784","Outside Central Region","Category 2",">200 - 500","57.59","Q1 2021"
"785","Outside Central Region","Category 2",">500 - 1000","54.09","Q1 2021"
"786","Outside Central Region","Category 2","100 & Below","40.24","Q2 2021"
"787","Outside Central Region","Category 2",">100 - 200","51.68","Q2 2021"
"788","Outside Central Region","Category 2",">1000","15.98","Q2 2021"
"789","Outside Central Region","Category 2",">200 - 500","55.96","Q2 2021"
"790","Outside Central Region","Category 2",">500 - 1000","64.54","Q2 2021"
"791","Outside Central Region","Category 2","100 & Below","38.77","Q3 2021"
"792","Outside Central Region","Category 2",">100 - 200","43.18","Q3 2021"
"793","Outside Central Region","Category 2",">1000","NA","Q3 2021"
"794","Outside Central Region","Category 2",">200 - 500","43.06","Q3 2021"
"795","Outside Central Region","Category 2",">500 - 1000","27.67","Q3 2021"
"796","Outside Central Region","Category 2","100 & Below","41.60","Q4 2021"
"797","Outside Central Region","Category 2",">100 - 200","48.40","Q4 2021"
"798","Outside Central Region","Category 2",">1000","47.77","Q4 2021"
"799","Outside Central Region","Category 2",">200 - 500","57.05","Q4 2021"
"800","Outside Central Region","Category 2",">500 - 1000","53.82","Q4 2021"

800 record(s) retrieved based on user-specific search criteria

"Search By "Period (Q1 2012 to Q4 2021) & Location All  & Floor Area All  & Building Class All 

"Notes:"
"To convert $ psm to $ psf, divide by a factor 10.764."
